"TITLE";"ID";"YEAR";"CITCOM";"MODEL";"TYPE";"TEMPSCALE";"SPATSCALE";"METHODO";"EQU";"THEME";"CASE";"DISCIPLINE";"PROCESSES";"OBSERVATION";"LINK"
"Combined impacts of highways and light rail transit on residential property values: A spatial hedonic price model for Phoenix, Arizona";"4911806436491011149";"2014";"NA";"yes";"territory";"0";"metro";"stat";"NA";"housing market";"Phoenix";"geography";"housing market";;"http://www.sciencedirect.com/science/article/pii/S0966692314001653"
" The strategic, dynamic and integrated urban land use and transport model MARS (Metropolitan Activity Relocation Simulator)";"13172227782021916588";"2003";"NA";"yes";"territory";"20";"metro";"sim";"no";"luti";"Vienna";"planning";"active relocation,employment relocation,housing market";;"http://www.ivv.tuwien.ac.at/fileadmin/mediapool-verkehrsplanung/Diverse/Forschung/Publikationen/Online/MARS_smallest_size.pdf"
"Accessibility modeling and evaluation: The TIGRIS XL land-use and transport interaction model for the Netherlands";"13076030584230478433";"2015";"NA";"yes";"territory";"20";"region";"sim,stat";"no";"luti";"Netherlands";"planning";"relocation,accessibility,transport demand";;"http://www.sciencedirect.com/science/article/pii/S0198971514000647"
"Land-use/transport interaction models: Past and future";"9333134823238281996";"1998";"NA";"hs";;;;;;;;"planning";;;
"Multiagent land-use and transport model for the policy evaluation of a compact city";"14256171076146454580";"2005";"NA";"yes";"territory";"NA";"metro";"mas";"no";"sustainibility";;"planning";"relocation";;
"Measuring regional cohesion effects of large-scale transport infrastructure investments: an accessibility approach";"15923103254121616546";"2008";"NA";"yes";"territory";"10";"region";"map";"NA";"accessibility";"Spain";"planning";"accessiblity";;"http://www.tandfonline.com/doi/abs/10.1080/09654310701814629?journalCode=ceps20"
"Impacts on accessibility of China's present and future HSR network";"1497411548457644019";"2014";"NA";"yes";"territory";"10";"country";"map";"NA";"hsr";"China";"geography";"accessiblity";;"http://www.sciencedirect.com/science/article/pii/S0966692314001525"
" Evaluating transit-oriented development using a sustainability framework: Lessons from Perth's network city";"1874975002961414310";"2009";"NA";"hs";;;;;;;;"planning";;;
"The impact of transit-oriented development on housing prices in San Diego, CA";"3443722888458689953";"2011";"NA";"yes";"territory";"0";"metro";"stat";"NA";"housing market";"San Diego";"economics";"housing market";;
"Impact of proximity to light rail rapid transit on station-area property values in Buffalo, New York";"2184418343986277380";"2007";"NA";"yes";"territory";"0";"local";"stat";"NA";"housing market";"Buffalo";"economics";"housing market";;
"Overview of land use transport models";"3647216975258379343";"2004";"NA";"review";;;;;;;;"planning";;;
" Territorial implications of high speed rail: a Spanish perspective";"7238773654311666897";"2016";"NA";"hs";;;;;;;;"transportation";;;
"Relationship between transport accessibility and land value: Local model approach with geographically weighted regression";"4418397137131889429";"2006";"NA";"yes";"territory";"0";"local";"stat";"NA";"housing market";"UK";"economics";"housing market";;"https://trid.trb.org/view.aspx?id=777211"
"Assessing the accessibility impact of transport policy by a land-use and transport interaction model–The case of Madrid";"7403034735160752310";"2015";"NA";"yes";"territory";"0";"metro";"sim,stat";"no";"luti";"Madrid";"planning";;;"http://www.sciencedirect.com/science/article/pii/S019897151400043X"
"Linking urban transport and land use in developing countries";"581933628528961027";"2013";"NA";"no";;;;;;;;"planning";;;"https://www.jtlu.org/index.php/jtlu/article/view/425"
"Measuring the neighborhood benefits of rail transit accessibility";"4393706071311534606";"1997";"NA";"yes";"territory";"0";"local";"stat";"NA";"housing market";;"economics";"housing market";;"https://trid.trb.org/view.aspx?id=578169"
" Towards a land use and transport interaction framework";"1710252771559171104";"2000";"NA";"no";;;;;;;;"planning";;;
"A physarum network evolution model based on IBTM";"16487236950183891908";"2013";"NA";"hs";;;;;;;;"biology";;;
"A GIS‐based land use and public transport accessibility indexing model";"12077705089835878954";"2007";"NA";"yes";"territory";"NA";"metro";"stat";"NA";"accessibility";;"planning";"accessiblity";;
"The role of the transport system in destination development";"1650848833307333103";"2000";"NA";"hs";;;;;;;;"geography";;"tourism";
" The impact of railway stations on residential and commercial property value: a meta-analysis";"13445798032165848396";"2007";"NA";"review";;;;;;;;"economics";;;
"Integrated urban models for simulation of transit and land-use policies";"3781617263417430270";"1998";"NA";"hs";;;;;;;;"planning";;"guidelines";
"Urban concentration: the role of increasing returns and transport costs";"18272623801279535261";"1996";"NA";"no";;;;;;;;"economics";;;
"Reaction of house prices to a new rapid transit line: Chicago's midway line, 1983–1999";"2016332858113242291";"2004";"NA";"yes";"territory";"20";"metro";"stat";"NA";"housing market";"Chicago";"economics";"housing market";;
" LUTI modelling in the Netherlands: Experiences with TIGRIS and a framework for a new LUTI model";"12775946050966369604";"2004";"NA";"yes";"territory";"NA";"region";"sim";"no";"luti";"Netherlands";"planning";;;
" Modèles d'intégration spatiale et réseau des villes en Europe occidentale";"14436860538273457118";"1998";"NA";"hs";;;;;;;;"geography";;;"http://www.persee.fr/doc/spgeo_0046-2497_1998_num_27_1_1117"
"Transport planning with multiple criteria: the analytic hierarchy process applications and progress review";"14117261840986233099";"1995";"NA";"hs";;;;;;;;"transportation";;;
"Multiregional model with endogenous price system for evaluating road construction projects";"8323240285143884679";"1987";"NA";"yes";"territory";"NA";"country";"eq";"yes";"transportation";;"economics";;;
" Modeling long-range transportation and land use scenarios for the Sacramento region, using citizen-generated policies";"16243496654184230401";"2008";"NA";"yes";"territory";"50";"region";"sim";"no";"luti";"Sacramento";"planning";;;
"Transit-oriented development in San Diego County: The incremental implementation of a planning idea";"2711632327760691846";"1999";"NA";"no";;;;;;;;"planning";;;
"Chinese edition of transit-oriented development";"14424316244410372379";"2007";"NA";"hs";;;;;;;;"planning";;;
"UrbanSim: Modeling urban development for land use, transportation, and environmental planning";"10961332031865325758";"2002";"NA";"yes";"territory";"20";"metro";"sim";"no";"luti";"Oregon";"planning";;;
"Applied models of urban land use, transport and environment: state of the art and future developments";"6377202254643625039";"1998";"NA";"review";;;;;;;;"planning";;;
"Railway station site selection using analytical hierarchy process and data envelopment analysis";"9937513993046226542";"2010";"NA";"yes";"network";"0";"metro";"ro";"NA";"network design";"Iran";"engineering";;;"http://www.sciencedirect.com/science/article/pii/S036083521000077X"
"Leeds Integrated Land-Use Transport Model (LILT)";"17246353187156135543";"1983";"NA";"yes";"territory";"NA";"metro";"sim";"no";"luti";"Leeds";"planning";;"Both-way interaction : network supply only, no infra";
"MASTER model (micro-analytical simulation of transport, employment and residence)";"15933226690278854311";"1990";"NA";"yes";"territory";"NA";"metro";"sim";"no";"luti";;"planning";;;
"Effects of urban rail transit expansions: Evidence from sixteen cities, 1970-2000 ";"14049005034234653393";"2005";"NA";"review";;;;;;;;"economics";;;
"Capitalization of BRT network expansions effects into prices of non-expansion areas";"14930612208324155397";"2009";"NA";"yes";"territory";"0";"metro";"stat";"NA";"housing market";"Bogota";"transportation";;;"http://www.sciencedirect.com/science/article/pii/S0965856409000299"
" Future forms and design for sustainable cities";"2370741951161166355";"2005";"NA";"no";;;;;;;;"planning";;;
"Redistributive effects of bus rapid transit (BRT) on development patterns and property values in Seoul, Korea";"2765907686933992521";"2012";"NA";"yes";"territory";"0";"metro";"sim";"no";"luti";"Seoul";"transportation";;;
"L'évolution des villes dans l'espace post-soviétique. Observation et modélisations.";"1307757021320289647";"2014";"NA";"hs";;;;;;;;"geography";;;
"Comparing the output of cost benefit and multi-criteria analysis: An application to urban transport investments";"11119730724381419043";"2006";"NA";"hs";;;;;;;;"transportation";;;
"Is investment in high speed rail socially profitable?";"8971822581675494264";"2007";"NA";"hs";;;;;;;;"transportation";;;
"Territorial cohesion impacts of high-speed rail under different zoning systems";"1194486642962524679";"2014";"NA";"yes";"territory";"0";"region";"map";"NA";"hsr";"Spain";"transportation";;;
"Infrastructure, geographical disadvantage, transport costs, and trade";"3890467767525018910";"2001";"NA";"hs";;;;;;;;"economics";;;
"The multi‐actor, multi‐criteria analysis methodology (MAMCA) for the evaluation of transport projects: Theory and practice";"16783901319221212720";"2009";"NA";"hs";;;;;;;;"transportation";;;
"Development of a temporal and spatial linkage between transit demand and land-use patterns";"8612868363866879140";"2013";"NA";"hs";;;;;;;;"transportation";;;
"Les interactions entre système de transport et système de localisation en milieu urbain et leur modélisation";"13649329046387955180";"2000";"NA";"yes";"territory";"NA";"metro";"eq";"no";;;"economics";;;
" Conception d'un automate cellulaire non stationnaire à base de graphe pour modéliser la structure spatiale urbaine: le modèle Remus";"2246124274659537904";"2007";"NA";"hs";;;;;;;;"geography";;;
" Using transport models in spatial planning: issues from a review of the London land-use/transport interaction (LUTI) Model";"15843773653490207398";"2009";"NA";"no";;;;;;;;"transportation";;;
"The impact of rapid rail transit on economic development: the case of Atlanta's MARTA";"16217335523035094026";"1997";"NA";"yes";"territory";"0";"local";"stat";"NA";"transportation";"Atlanta";"economics";;;
"Identifying the impacts of rail transit stations on residential property values";"13588936307863952369";"2001";"NA";"yes";"territory";"0";"local";"stat";"NA";"transportation";"Atlanta";"economics";;;"http://www.sciencedirect.com/science/article/pii/S0094119001922144"
" Spatial economic impacts of transport infrastructure investments";"4099685160755234978";"2003";"NA";"no";;;;;;;;"planning";;;
"Equip the warrior instead of manning the equipment: Land use and transport planning support in the Netherlands";"6569546468110646686";"2010";"NA";"no";;;;;;;;"planning";;"planning practice";
"The effects of a new subway line on housing prices in metropolitan Toronto";"13974757598491717610";"1983";"NA";"yes";"territory";"0";"metro";"stat";"NA";"transportation";"Toronto";"economics";;;
"UPlan: a versatile urban growth model for transportation planning";"4923914250704461164";"2003";"NA";"hs";;;;;;;;"planning";;;
"A cellular automata-based land use and transport interaction model applied to Jeddah, Saudi Arabia";"16063744230424344758";"2013";"NA";"yes";"territory";"NA";"metro";"ca";"no";"luti";"Jeddah";"planning";;;
"High-speed rail transit impact on regional systems: does the Shinkansen contribute to dispersion?";"16105698267676210807";"1997";"NA";"yes";"territory";"0";"region";"stat";"NA";"hsr";"Japan";"geography";;;
"Sustainable accessibility: a conceptual framework to integrate transport and land use plan-making. Two test-applications in the Netherlands and a reflection on the …";"7327262770207639336";"2005";"NA";"no";;;;;;;;"transportation";;;
"Developing transit-oriented corridors: Insights from Tokyo";"16163531430831005128";"2016";"NA";"no";;;;;;;;"transportation";;;
" Urban Land-use and Transport Interaction: Policies and Models. Report of the International Study Group on Land-use/Transport Interaction (ISGLUTI)";"6724525399354672343";"1988";"NA";"hs";;;;;;;;"transportation";;;
"Integration of Sustainability Issues in Strategic Transportation Planning: A Multi‐criteria Model for the Assessment of Transport Infrastructure Plans";"3038785531340906362";"2010";"NA";"hs";;;;;;;;"engineering";;;
" Developing a sustainability assessment model: the sustainable infrastructure, land-use, environment and transport model";"10547017315451312407";"2010";"NA";"hs";;;;;;;;"planning";;;
"Regional polycentricity: an indicator framework for assessing cohesion impacts of railway infrastructures";"11351703448754345746";"2016";"NA";"hs";;;;;;;;"planning";;;
" Land-use/transport interaction models as tools for sustainability impact assessment of transport investments: review and research perspectives";"3718057397341599920";"2004";"NA";"review";;;;;;;;"planning";;;
"Land-use transport interaction: state of the art";"16732332007051269037";"2004";"NA";"review";;;;;;;;"planning";;;
"Accessibility Impact of the Suburbanization of High-Speed Rail Stations in China";"1261624366439909540";"2015";"NA";"hs";;;;;;;;"transportation";;;
"High-speed rail and office location choices. A stated choice experiment for the Netherlands";"10281642940978705087";"2011";"NA";"yes";"territory";"0";"country";"stat";"NA";"hsr";"Netherlands";"geography";;;
" Towards the 5-stage land use-transport model";"11703662531117932857";"1993";"NA";"no";;;;;;;;"planning";;;
"Spatial development patterns and public transport: the application of an analytical model in the Netherlands";"1728787302865949564";"1999";"NA";"yes";"territory";"NA";"country";"eq";;;"Netherlands";"planning";;;
"Access: the transport-land use economic link";"3714490189766789671";"1995";"NA";"no";;;;;;;;"transportation";;;
" Integrated land use and transport modelling. Decision chains and hierarchies";"17928749455960355096";"1989";"NA";"no";;;;;;;;"transportation";;;
"Infrastructure in a structural model of economic growth";"12578455509705156720";"1995";"NA";"yes";"territory";"NA";"country";"eq";"yes";"economic growth";;"economics";;;
"A GIS-based planning approach to locating urban rail terminals";"9922981368373927992";"2001";"NA";"yes";"network";"0";"region";"stat";"NA";"network design";"Ohio";"transportation";;;
"Transit transformations: private financing and sustainable urbanism in Hong Kong and Tokyo";"11225450266381394618";"2010";"NA";"no";;;;;;;;"planning";;;
"Integrated land use-transport model system with dynamic time-dependent activity-travel microsimulation";"14847883086865730751";"2012";"NA";"yes";"territory";"NA";"metro";"sim";"no";"luti";;"transportation";;;
"Introduction to the special issue The regional and urban effects of high-speed trains";"11113342855832408846";"1997";"NA";"no";;;;;;;;"transportation";;;
" A micro-simulator of urban land use dynamics integrating a multi-agent model of land development and an activity-based model of transport demand";"8457668460887267734";"2004";"7";"yes";"territory";"NA";"metro";"mas";"no";"luti";;"planning";;;
"A constrained cellular automata model to simulate the potential effects of high-speed train stations on land-use dynamics in trans-border regions";"17712004929438830860";"2013";"8";"yes";"territory";"NA";"region";"ca";"no";"hsr";"France";"geography";;;
"The New Cispadana Motorway. Impact on Industrial Buildings Property Values";"12673480682749692953";"2012";"3";"yes";"territory";"0";"region";"stat";"NA";"housing market";"Italy";"economics";;;
"SYSTEME TERRITORIAL ET DEVELOPPEMENT: Impact de la route Nouakchott-Nouadhibou sur le Parc National du Banc d'Arguin";"17558306378352069107";"2012";"10";"no";;;;;;;;"geography";;;
" Logiques urbanistiques et logiques de transports au sein d'une intercommunalité périurbaine. L'exemple de la construction territoriale du Pays Voironnais";"11803165925574305142";"2007";"9";"no";;;;;;;;"geography";;;
" Integration of LUTI models into Sustainable Urban Mobility Plans (SUMPs)";"9963644515348597670";"2016";"7";"no";;;;;;;;"planning";;;
"Joint accessibility design: framework developed with practitioners to integrate land use and transport planning in the Netherlands";"9279271717247468535";"2008";"8";"no";;;;;;;;"planning";;;
"Dispersion of agglomeration through transport infrastructure";"17788582081915489899";"2013";"8";"yes";"territory";"20";"country";"eq,sim";"NA";"hsr";"China";"economics";;;
"Potential Impact of Housing Policy on Transportation Infrastructure in Chinese Cities";"14631122393807503549";"2007";"7";"no";;;;;;;;"transportation";;;
" Evolving transportation networks";"8258101384876010326";"2011";"12";"yes";"network";"NA";"metro";"eq,sim";"no";"network growth";"US";"economics";"network growth";;
" A model of road network and buildings extension co-evolution";"14739715137994834697";"2014";"12";"yes";"strong";"NA";"local";"sim,ca";"no";"coevolution";;"computer science";;;
"Evaluating transport externalities of urban growth: a critical review of scenario-based planning methods";"11057429637195491539";"2016";"7";"no";;;;;;;;"planning";"model assessment";;
"Rail system development and urban transformations: Towards a spatial decision support system";"7608690871700860183";"2008";"2";"no";;;;;;;;"transportation";;;
"Heuristic urban transportation network design method, a multilayer coevolution approach";"9433653206824619514";"2017";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"physics";"multiscalar network effects";"coevolution between layers";
" Amarrer le développement urbain aux infrastructures de transport publics: examen comparatif des politiques locales de quatre agglomérations suisses";"9544277750994587809";"2009";"9";"no";;;;;;;;"planning";;;
" Desserte ferroviaire à grande vitesse, activation des ressources spécifiques et développement du tourisme: le cas de l'agglomération rémoise";"14900532297166432212";"2010";"3";"no";;;;;;;;"geography";;;
"Mathematics and morphogenesis of cities: A geometrical approach";"11819818561854891580";"2011";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";;"physics";"local optimization";;
"Le réseau autoroutier français: un outil rapidement valorisé, des effets controversés";"9388458379846447123";"1997";"3";"no";;;;;;;;"geography";;;
" Elementary processes governing the evolution of road networks";"3086518878428601412";"2012";"12";"yes";"network";"200";"metro";"stat";"NA";"network measures";;"physics";"top-down network planning";;
"The evolution and planning of hierarchical transport networks";"15548407300627151288";"2014";"12";"yes";"network";"NA";"metro";"sim";"no";"network growth";"Naples";"physics";"hierarchy";;
"La planification métropolitaine et le transit-oriented development (TOD): les nouveaux instruments de la gouvernance du Grand Montréal";"16767933415430308127";"2016";"9";"no";;;;;;;;"planning";;;
"Transportation implications of metropolitan spatial planning in mega-city Beijing";"16645999085681599203";"2009";"7";"hs";;;;;;;;"planning";;;
"Measuring TOD around transit nodes-Towards TOD policy";"2461466985030055448";"2017";"11";"yes";"territory";"NA";"local";"stat";"NA";"tod";"Netherlands";"transportation";;;
"Growth Patterns of Subway/Metro Systems Tracked by Degree Correlation";"4196851619316729988";"2012";"12";"yes";"network";"NA";"metro";"stat";"no";"network growth";;"physics";"correlation";;
" Developing a Tool for Evaluating Land Use-Transport Integration";"5135111128672754351";;"8";"no";;;;;;;;"planning";;;
" Impacts on Land Use Characteristics from Fixed Link Projects: Four Case Studies from Norway";"12319656594235031992";"2016";"7";"yes";"territory";"0";"metro";"stat";"NA";"accessibility";"Norway";"transportation";;;
"Can we integrate land-use and transport planning? An investigation into the use of travel planning in regulation";"2508096719201861342";"2015";"7";"no";;;;;;;;"planning";;;
" Generative network models for simulating urban networks, the case of inter-city transport network in Southeast Asia";"1727240970915573682";"2016";"12";"yes";"network";"0";"continent";"sim";"no";"urban system";"South-East Asia";"geography";"cities interactions";;
"The organizational learning of a new realtion between road projets planning and territory stakeholders: the case of the Quebec ministry of tranportation";"10902935719250740304";"2008";"10";"no";;;;;;;;"geography";;;
" Accessibility Planning tools for sustainable and integrated Land Use/Transport (LUT) development: an application to Rome";"7106520131778669231";"2013";"8";"yes";"territory";"0";"metro";"stat";"NA";"accessibility";"Roma";"planning";;;
"Shape grammars overview and assessment for transport and urban design: Review, terminology, assessment, and application";"803086432938124946";"2016";"12";"yes";"network";"0";"metro";"sim";"no";"shape grammar";;"planning";;;
" De l'évaluation de l'effet structurant d'un projet urbain à l'analyse des congruences entre stratégies d'acteurs: le réaménagement du Vieux-Port de …";"13524558818340642580";"2003";"3";"no";;;;;;;;"planning";;;
"Injecting a rapid rail link into a metropolis";"12888682099709140912";"2009";"7";"no";;;;;;;;"planning";;;
" Le mythe du développement économique induit par les grandes infrastructures de transports";"10856658103118340902";"2002";"6";"no";;;;;;;;"economics";;;
"Accessibility and territorial cohesion in a case of transport infrastructure improvements with changing population distributions";"7376709710337748824";"2016";"7";"yes";"territory";"0";"continent";"stat";"NA";"accessibility";"East Europa";"transportation";;;
"Exploring the relationship between street centrality and land use in Stockholm";"14186537126402816131";"2014";"12";"yes";"territory";"0";"metro";"stat";"NA";"network analysis";"Stockholm";"geography";"centrality";;
"The effects of the high-speed railway on urban development: International experience and potential implications for China";"13868211247859932084";"2015";"11";"no";;;;;;;;"planning";;;
" Benchmarking Public Transport and Land Use Integration in Melbourne and Hamburg: Hints for Policy Makers";"17672215516746545062";"2009";"11";"no";;;;;;;;"planning";;;
"Cities and highway networks in Europe";"8195558924340493347";"1996";"8";"yes";"territory";"0";"continent";"stat";"NA";"accessibility";"Europe";"geography";;;
" Urban growth modeling based on land-use changes and road network expansion";"8911748967759297223";"2013";"12";"yes";"strong";"NA";"metro";"sim";"no";"coevolution";"Toronto";"geography";;;
