"TITLE";"ID";"YEAR";"CITCOM";"MODEL";"TYPE";"TEMPSCALE";"SPATSCALE";"METHODO";"EQU";"THEME";"CASE";"DISCIPLINE";"PROCESSES";"OBSERVATION";"LINK";"INTERDISC";"SEMCOM"
"How accessibility shapes land use";"15575741556156415962";1959;NA;"yes";"territory";NA;"metro";"eq";"no";"";"";"planning";"accessiblity";"";"";0.7286470143613;"infra planning"
"Territorial cohesion impacts of high-speed rail at different planning levels";"2882196390170800133";2012;NA;"yes";"territory";15;"country";"map";NA;"hsr";"Spain";"geography";"accessiblity,territorial cohesion";"";"";NA;NA
"Transit's value-added effects: light and commuter rail services and commercial land values";"6684170136495887910";2002;NA;"yes";"territory";0;"local";"stat";NA;"transportation";"Santa Clara";"economics";"housing market";"";"";0.6112;"hedonic"
"Optimal Land Use—Transport Strategies: Methodology and Application to European Cities";"9935339511624817265";2005;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";0.416573847182;"tod"
"Rules for biologically inspired adaptive network design";"17893242022307076992";2010;NA;"yes";"network";NA;"metro";"sim";"no";"transportation";"Tokyo";"biology";"network growth";"";"";0.670630202140309;"tod"
"The land-use impacts of urban rail transit systems";"14078813764339021668";1996;NA;"review";"";NA;"";"";"";"";"";"planning";"";"";"";0.674380165289256;"infra planning"
"Calibrating the Naples land-use and transport model";"4797711363877193555";1994;NA;"yes";"territory";NA;"metro";"stat,ml,sim";"no";"luti";"Naples";"planning";"";"";"";0.654674556213018;"tod"
" Commercial Property Values and Proximity to Light Rail: Calculating Benefits with a Hedonic Price Model";"5195046070265209607";NA;NA;"yes";"territory";0;"local";"stat";NA;"housing market";"";"economics";"housing market";"";"";NA;NA
"Bus rapid transit impacts on land uses and land values in Seoul, Korea";"1786504861447836048";2011;NA;"yes";"territory";0;"metro";"stat";NA;"housing market";"Seoul";"transportation";"housing market";"";"";0.775730822935904;"brt"
"Combined impacts of highways and light rail transit on residential property values: A spatial hedonic price model for Phoenix, Arizona";"4911806436491011149";2014;NA;"yes";"territory";0;"metro";"stat";NA;"housing market";"Phoenix";"geography";"housing market";"";"http://www.sciencedirect.com/science/article/pii/S0966692314001653";0.350584842172729;"hedonic"
" The strategic, dynamic and integrated urban land use and transport model MARS (Metropolitan Activity Relocation Simulator)";"13172227782021916588";2003;NA;"yes";"territory";20;"metro";"sim";"no";"luti";"Vienna";"planning";"active relocation,employment relocation,housing market";"";"http://www.ivv.tuwien.ac.at/fileadmin/mediapool-verkehrsplanung/Diverse/Forschung/Publikationen/Online/MARS_smallest_size.pdf";0.53801481165752;"tod"
"Accessibility modeling and evaluation: The TIGRIS XL land-use and transport interaction model for the Netherlands";"13076030584230478433";2015;NA;"yes";"territory";20;"region";"sim,stat";"no";"luti";"Netherlands";"planning";"relocation,accessibility,transport demand";"";"http://www.sciencedirect.com/science/article/pii/S0198971514000647";0.614083762716343;"tod"
"Land-use/transport interaction models: Past and future";"9333134823238281996";1998;NA;"hs";"";NA;"";"";"";"";"";"planning";"";"";"";0.694214876033058;"tod"
"Multiagent land-use and transport model for the policy evaluation of a compact city";"14256171076146454580";2005;NA;"yes";"territory";NA;"metro";"mas";"no";"sustainibility";"";"planning";"relocation";"";"";0.560302866414278;"tod"
"Measuring regional cohesion effects of large-scale transport infrastructure investments: an accessibility approach";"15923103254121616546";2008;NA;"yes";"territory";10;"region";"map";NA;"accessibility";"Spain";"planning";"accessiblity";"";"http://www.tandfonline.com/doi/abs/10.1080/09654310701814629?journalCode=ceps20";0.302795954788816;"tod"
"Impacts on accessibility of China's present and future HSR network";"1497411548457644019";2014;NA;"yes";"territory";10;"country";"map";NA;"hsr";"China";"geography";"accessiblity";"";"http://www.sciencedirect.com/science/article/pii/S0966692314001525";0.57703747769185;"tod"
" Evaluating transit-oriented development using a sustainability framework: Lessons from Perth's network city";"1874975002961414310";2009;NA;"hs";"";NA;"";"";"";"";"";"planning";"";"";"";0.621900826446281;"tod"
"The impact of transit-oriented development on housing prices in San Diego, CA";"3443722888458689953";2011;NA;"yes";"territory";0;"metro";"stat";NA;"housing market";"San Diego";"economics";"housing market";"";"";0.613111726685134;"tod"
"Impact of proximity to light rail rapid transit on station-area property values in Buffalo, New York";"2184418343986277380";2007;NA;"yes";"territory";0;"local";"stat";NA;"housing market";"Buffalo";"economics";"housing market";"";"";0.323621399176955;"hedonic"
"Overview of land use transport models";"3647216975258379343";2004;NA;"review";"";NA;"";"";"";"";"";"planning";"";"";"";0.61677678827923;"networks"
" Territorial implications of high speed rail: a Spanish perspective";"7238773654311666897";2016;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Relationship between transport accessibility and land value: Local model approach with geographically weighted regression";"4418397137131889429";2006;NA;"yes";"territory";0;"local";"stat";NA;"housing market";"UK";"economics";"housing market";"";"https://trid.trb.org/view.aspx?id=777211";0.560380725758477;"hedonic"
"Assessing the accessibility impact of transport policy by a land-use and transport interaction model–The case of Madrid";"7403034735160752310";2015;NA;"yes";"territory";0;"metro";"sim,stat";"no";"luti";"Madrid";"planning";"";"";"http://www.sciencedirect.com/science/article/pii/S019897151400043X";0.342387981483099;"tod"
"Linking urban transport and land use in developing countries";"581933628528961027";2013;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"https://www.jtlu.org/index.php/jtlu/article/view/425";0.697887970615243;"tod"
"Measuring the neighborhood benefits of rail transit accessibility";"4393706071311534606";1997;NA;"yes";"territory";0;"local";"stat";NA;"housing market";"";"economics";"housing market";"";"https://trid.trb.org/view.aspx?id=578169";0.606484235574063;"hedonic"
" Towards a land use and transport interaction framework";"1710252771559171104";2000;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.727023319615912;"tod"
"A physarum network evolution model based on IBTM";"16487236950183891908";2013;NA;"hs";"";NA;"";"";"";"";"";"biology";"";"";"";NA;NA
"A GIS‐based land use and public transport accessibility indexing model";"12077705089835878954";2007;NA;"yes";"territory";NA;"metro";"stat";NA;"accessibility";"";"planning";"accessiblity";"";"";NA;NA
"The role of the transport system in destination development";"1650848833307333103";2000;NA;"hs";"";NA;"";"";"";"";"";"geography";"";"tourism";"";0.541522491349481;"networks"
" The impact of railway stations on residential and commercial property value: a meta-analysis";"13445798032165848396";2007;NA;"review";"";NA;"";"";"";"";"";"economics";"";"";"";0.468489892984542;"hedonic"
"Integrated urban models for simulation of transit and land-use policies";"3781617263417430270";1998;NA;"hs";"";NA;"";"";"";"";"";"planning";"";"guidelines";"";NA;NA
"Urban concentration: the role of increasing returns and transport costs";"18272623801279535261";1996;NA;"no";"";NA;"";"";"";"";"";"economics";"";"";"";0.590957636169455;"tod"
"Reaction of house prices to a new rapid transit line: Chicago's midway line, 1983–1999";"2016332858113242291";2004;NA;"yes";"territory";20;"metro";"stat";NA;"housing market";"Chicago";"economics";"housing market";"";"";0.534013605442177;"hedonic"
" LUTI modelling in the Netherlands: Experiences with TIGRIS and a framework for a new LUTI model";"12775946050966369604";2004;NA;"yes";"territory";NA;"region";"sim";"no";"luti";"Netherlands";"planning";"";"";"";NA;NA
" Modèles d'intégration spatiale et réseau des villes en Europe occidentale";"14436860538273457118";1998;NA;"hs";"";NA;"";"";"";"";"";"geography";"";"";"http://www.persee.fr/doc/spgeo_0046-2497_1998_num_27_1_1117";0.710743801652893;"hedonic"
"Transport planning with multiple criteria: the analytic hierarchy process applications and progress review";"14117261840986233099";1995;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.676470588235294;"networks"
"Multiregional model with endogenous price system for evaluating road construction projects";"8323240285143884679";1987;NA;"yes";"territory";NA;"country";"eq";"yes";"transportation";"";"economics";"";"";"";0.732142857142857;"networks"
" Modeling long-range transportation and land use scenarios for the Sacramento region, using citizen-generated policies";"16243496654184230401";2008;NA;"yes";"territory";50;"region";"sim";"no";"luti";"Sacramento";"planning";"";"";"";NA;NA
"Transit-oriented development in San Diego County: The incremental implementation of a planning idea";"2711632327760691846";1999;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.5391787343781;"tod"
"Chinese edition of transit-oriented development";"14424316244410372379";2007;NA;"hs";"";NA;"";"";"";"";"";"planning";"";"";"";0.589090909090909;"tod"
"UrbanSim: Modeling urban development for land use, transportation, and environmental planning";"10961332031865325758";2002;NA;"yes";"territory";20;"metro";"sim";"no";"luti";"Oregon";"planning";"";"";"";0.781065088757396;"tod"
"Applied models of urban land use, transport and environment: state of the art and future developments";"6377202254643625039";1998;NA;"review";"";NA;"";"";"";"";"";"planning";"";"";"";0.617283950617284;"tod"
"Railway station site selection using analytical hierarchy process and data envelopment analysis";"9937513993046226542";2010;NA;"yes";"network";0;"metro";"ro";NA;"network design";"Iran";"engineering";"";"";"http://www.sciencedirect.com/science/article/pii/S036083521000077X";0.682661837935717;"hedonic"
"Leeds Integrated Land-Use Transport Model (LILT)";"17246353187156135543";1983;NA;"yes";"territory";NA;"metro";"sim";"no";"luti";"Leeds";"planning";"";"Both-way interaction : network supply only, no infra";"";0.747849705749208;"tod"
"MASTER model (micro-analytical simulation of transport, employment and residence)";"15933226690278854311";1990;NA;"yes";"territory";NA;"metro";"sim";"no";"luti";"";"planning";"";"";"";NA;NA
"Effects of urban rail transit expansions: Evidence from sixteen cities, 1970-2000 ";"14049005034234653393";2005;NA;"review";"";NA;"";"";"";"";"";"economics";"";"";"";0.214567221891731;"infra planning"
"Capitalization of BRT network expansions effects into prices of non-expansion areas";"14930612208324155397";2009;NA;"yes";"territory";0;"metro";"stat";NA;"housing market";"Bogota";"transportation";"";"";"http://www.sciencedirect.com/science/article/pii/S0965856409000299";0.52;"hedonic"
" Future forms and design for sustainable cities";"2370741951161166355";2005;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.645754461871282;"tod"
"Redistributive effects of bus rapid transit (BRT) on development patterns and property values in Seoul, Korea";"2765907686933992521";2012;NA;"yes";"territory";0;"metro";"sim";"no";"luti";"Seoul";"transportation";"";"";"";0.789084047031499;"hedonic"
"L'évolution des villes dans l'espace post-soviétique. Observation et modélisations.";"1307757021320289647";2014;NA;"hs";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
"Comparing the output of cost benefit and multi-criteria analysis: An application to urban transport investments";"11119730724381419043";2006;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.668649613325402;"networks"
"Is investment in high speed rail socially profitable?";"8971822581675494264";2007;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.797037037037037;"tod"
"Territorial cohesion impacts of high-speed rail under different zoning systems";"1194486642962524679";2014;NA;"yes";"territory";0;"region";"map";NA;"hsr";"Spain";"transportation";"";"";"";0.575471698113208;"tod"
"Infrastructure, geographical disadvantage, transport costs, and trade";"3890467767525018910";2001;NA;"hs";"";NA;"";"";"";"";"";"economics";"";"";"";NA;NA
"The multi‐actor, multi‐criteria analysis methodology (MAMCA) for the evaluation of transport projects: Theory and practice";"16783901319221212720";2009;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.464197530864198;"networks"
"Development of a temporal and spatial linkage between transit demand and land-use patterns";"8612868363866879140";2013;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.700393240514401;"hsr"
"Les interactions entre système de transport et système de localisation en milieu urbain et leur modélisation";"13649329046387955180";2000;NA;"yes";"territory";NA;"metro";"eq";"no";"";"";"economics";"";"";"";NA;NA
" Conception d'un automate cellulaire non stationnaire à base de graphe pour modéliser la structure spatiale urbaine: le modèle Remus";"2246124274659537904";2007;NA;"hs";"";NA;"";"";"";"";"";"geography";"";"";"";0.625;"networks"
" Using transport models in spatial planning: issues from a review of the London land-use/transport interaction (LUTI) Model";"15843773653490207398";2009;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"The impact of rapid rail transit on economic development: the case of Atlanta's MARTA";"16217335523035094026";1997;NA;"yes";"territory";0;"local";"stat";NA;"transportation";"Atlanta";"economics";"";"";"";0.676748582230624;"infra planning"
"Identifying the impacts of rail transit stations on residential property values";"13588936307863952369";2001;NA;"yes";"territory";0;"local";"stat";NA;"transportation";"Atlanta";"economics";"";"";"http://www.sciencedirect.com/science/article/pii/S0094119001922144";0.450247933884298;"hedonic"
" Spatial economic impacts of transport infrastructure investments";"4099685160755234978";2003;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.60557905079243;"tod"
"Equip the warrior instead of manning the equipment: Land use and transport planning support in the Netherlands";"6569546468110646686";2010;NA;"no";"";NA;"";"";"";"";"";"planning";"";"planning practice";"";0.622041420118343;"tod"
"The effects of a new subway line on housing prices in metropolitan Toronto";"13974757598491717610";1983;NA;"yes";"territory";0;"metro";"stat";NA;"transportation";"Toronto";"economics";"";"";"";0.669550173010381;"hedonic"
"UPlan: a versatile urban growth model for transportation planning";"4923914250704461164";2003;NA;"hs";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"A cellular automata-based land use and transport interaction model applied to Jeddah, Saudi Arabia";"16063744230424344758";2013;NA;"yes";"territory";NA;"metro";"ca";"no";"luti";"Jeddah";"planning";"";"";"";0.599852071005917;"tod"
"High-speed rail transit impact on regional systems: does the Shinkansen contribute to dispersion?";"16105698267676210807";1997;NA;"yes";"territory";0;"region";"stat";NA;"hsr";"Japan";"geography";"";"";"";0.765;"tod"
"Sustainable accessibility: a conceptual framework to integrate transport and land use plan-making. Two test-applications in the Netherlands and a reflection on the …";"7327262770207639336";2005;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Developing transit-oriented corridors: Insights from Tokyo";"16163531430831005128";2016;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";0.709190672153635;"tod"
" Urban Land-use and Transport Interaction: Policies and Models. Report of the International Study Group on Land-use/Transport Interaction (ISGLUTI)";"6724525399354672343";1988;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";NA;NA
"Integration of Sustainability Issues in Strategic Transportation Planning: A Multi‐criteria Model for the Assessment of Transport Infrastructure Plans";"3038785531340906362";2010;NA;"hs";"";NA;"";"";"";"";"";"engineering";"";"";"";0.538333333333333;"tod"
" Developing a sustainability assessment model: the sustainable infrastructure, land-use, environment and transport model";"10547017315451312407";2010;NA;"hs";"";NA;"";"";"";"";"";"planning";"";"";"";0.112264513648597;"tod"
"Regional polycentricity: an indicator framework for assessing cohesion impacts of railway infrastructures";"11351703448754345746";2016;NA;"hs";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
" Land-use/transport interaction models as tools for sustainability impact assessment of transport investments: review and research perspectives";"3718057397341599920";2004;NA;"review";"";NA;"";"";"";"";"";"planning";"";"";"";0.391710069444444;"tod"
"Land-use transport interaction: state of the art";"16732332007051269037";2004;NA;"review";"";NA;"";"";"";"";"";"planning";"";"";"";0.452690166975881;"tod"
"Accessibility Impact of the Suburbanization of High-Speed Rail Stations in China";"1261624366439909540";2015;NA;"hs";"";NA;"";"";"";"";"";"transportation";"";"";"";0.708189158016148;"hsr"
"High-speed rail and office location choices. A stated choice experiment for the Netherlands";"10281642940978705087";2011;NA;"yes";"territory";0;"country";"stat";NA;"hsr";"Netherlands";"geography";"";"";"";0.453825260298778;"hsr"
" Towards the 5-stage land use-transport model";"11703662531117932857";1993;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Spatial development patterns and public transport: the application of an analytical model in the Netherlands";"1728787302865949564";1999;NA;"yes";"territory";NA;"country";"eq";"";"";"Netherlands";"planning";"";"";"";0.757740664289735;"tod"
"Access: the transport-land use economic link";"3714490189766789671";1995;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";0.50978758850479;"tod"
" Integrated land use and transport modelling. Decision chains and hierarchies";"17928749455960355096";1989;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";0.708491076257436;"tod"
"Infrastructure in a structural model of economic growth";"12578455509705156720";1995;NA;"yes";"territory";NA;"country";"eq";"yes";"economic growth";"";"economics";"";"";"";0.706349206349206;"networks"
"A GIS-based planning approach to locating urban rail terminals";"9922981368373927992";2001;NA;"yes";"network";0;"region";"stat";NA;"network design";"Ohio";"transportation";"";"";"";0.69500594530321;"tod"
"Transit transformations: private financing and sustainable urbanism in Hong Kong and Tokyo";"11225450266381394618";2010;NA;"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Integrated land use-transport model system with dynamic time-dependent activity-travel microsimulation";"14847883086865730751";2012;NA;"yes";"territory";NA;"metro";"sim";"no";"luti";"";"transportation";"";"";"";0.705578512396694;"tod"
"Introduction to the special issue The regional and urban effects of high-speed trains";"11113342855832408846";1997;NA;"no";"";NA;"";"";"";"";"";"transportation";"";"";"";0.68610799551354;"tod"
" A micro-simulator of urban land use dynamics integrating a multi-agent model of land development and an activity-based model of transport demand";"8457668460887267734";2004;"LUTI";"yes";"territory";NA;"metro";"mas";"no";"luti";"";"planning";"";"";"";NA;NA
"A constrained cellular automata model to simulate the potential effects of high-speed train stations on land-use dynamics in trans-border regions";"17712004929438830860";2013;"Accessibility";"yes";"territory";NA;"region";"ca";"no";"hsr";"France";"geography";"";"";"";0.712834718374885;"hsr"
"The New Cispadana Motorway. Impact on Industrial Buildings Property Values";"12673480682749692953";2012;"Infra Planning";"yes";"territory";0;"region";"stat";NA;"housing market";"Italy";"economics";"";"";"";NA;NA
"SYSTEME TERRITORIAL ET DEVELOPPEMENT: Impact de la route Nouakchott-Nouadhibou sur le Parc National du Banc d'Arguin";"17558306378352069107";2012;"Geography";"no";"";NA;"";"";"";"";"";"geography";"";"";"";NA;NA
" Logiques urbanistiques et logiques de transports au sein d'une intercommunalité périurbaine. L'exemple de la construction territoriale du Pays Voironnais";"11803165925574305142";2007;NA;"no";"";NA;"";"";"";"";"";"geography";"";"";"";0;"hedonic"
" Integration of LUTI models into Sustainable Urban Mobility Plans (SUMPs)";"9963644515348597670";2016;"LUTI";"no";"";NA;"";"";"";"";"";"planning";"";"";"";NA;NA
"Joint accessibility design: framework developed with practitioners to integrate land use and transport planning in the Netherlands";"9279271717247468535";2008;"Accessibility";"no";"";NA;"";"";"";"";"";"planning";"";"";"";0.501077254539858;"tod"
"Dispersion of agglomeration through transport infrastructure";"17788582081915489899";2013;"Accessibility";"yes";"territory";20;"country";"eq,sim";NA;"hsr";"China";"economics";"";"";"";NA;NA
"Potential Impact of Housing Policy on Transportation Infrastructure in Chinese Cities";"14631122393807503549";2007;"LUTI";"no";"";NA;"";"";"";"";"";"transportation";"";"";"";0.693563520360293;"tod"
" Evolving transportation networks";"8258101384876010326";2011;"Networks";"yes";"network";NA;"metro";"eq,sim";"no";"network growth";"US";"economics";"network growth";"";"";NA;NA
