id	title_en	keywords_en	authors	date	langue	translated
294	Perceived density : how apartment dwellers view their surroundings		Moch Annie,Bordas Florence,Hermand Danièle	1996-04-12	en	1
298	Comprendre le passé : une condition essentille pour la reconstruction des villes de l’après-apartheid et la compensation des victimes		Parnell Susan,Crankshaw Owen	1996-04-12	fr	0
301	Des densités aux rugosités. Les modalités instrumentales d’une transposition		Peneau Jean-Pierre	1996-04-12	fr	0
303	Vivre et survivre au bord des villes		Péraldi Michel	1996-04-12	fr	0
305	Managing megacities		Prud'homme Rémy	1996-04-12	en	1
307	Voir et se mouvoir en marchant dans la ville		Relieu Marc	1996-04-12	fr	0
309	Ville et santé publique au Japon		Takehito Takano	1996-04-12	fr	0
330	New Models explaining regional Evolution in Europe. Contributions to an international conference in honour of Professor J.H.P. Paelinck Tinbergen Institute, Rotterdam, June 16-17, 1995. Introduction		Derycke Pierre-Henri,Mignolet Michel	1998-02-02	en	1
333	The Region : A basic Concept for understanding local Areas and Global Systems	region,historical region,functional region,cultural area,regional development,region	Bailly Antoine S.	1998-02-02	en	1
341	Some Thoughts on Regional Science Models and Their Potential Uses in New Europe		Chatterji Manas	1998-02-06	en	1
5995	Vulnerability and transport of dangerous goods :a decision help method coming from the Civil Security assessment	crisis management,decision help,GIS,multi-criteria method,sensitivity,technological risk,transport of dangerous goods	Griot Chloé	2007-01-12	fr	1
343	On some methodological and theoretical Aspects of regional Growth modelling in the Work of Jean Paelinck	regional modelling,causality,evolutionnism,shift-share analysis,FLEUR model	Derycke Pierre-Henri	1998-02-05	en	1
346	Regional Transitions and Noise		Isard Walter,Lobo José	1998-02-26	en	1
1590	Conceptual modelling of the interaction between transportation, land use and the environment as a tool for selecting sustainability indicators of urban mobility.	urban sustainability,sustainable urban mobility,urban sustainability indicator,conceptual framework,causal scheme,conceptual modelling,cognitive mapping	Fusco Giovanni	2002-03-21	en	1
349	Innovative Milieu and regional Development		Guesnier Bernard	1998-02-26	en	1
1671	Deriving supply-side variables to extend geodemographic classification	Geodemographics,labour market,interaction	Debenham James,Clarke Graham,Stillwell John	2002-09-18	en	1
351	An Economic Analysis of the Transferable Development Rights 		Sakashita Noboru	1998-03-05	en	1
353	Business location and optimality in France and in Europe		Sallez Alain	1998-03-13	En	0
356	Intervention de Mr. Christopher Board		Board Christopher	1997-12-12	fr	0
373	Space-time Contraction and the Dynamics of Urban Systems	Europe,space-time contraction,urban system,urbanisation	Bretagnolle Anne,Pumain Denise,Rozenblat Céline	1998-07-10	en	1
385	Provincial-level spatial statistical modelling of the change in per capita disposable Family Income in Spain, 1975-1983	spatial autocorrelation,space-time,Jacobian approximation,eigenfunction,Spain,income	Griffith Daniel A.	1998-02-20	en	1
393	The multinational companies cost of capital and regional policy : tax cut or capital grant ?	cost of capital,effective tax rate,income from capital,multinational company,open economy,regional policy assessment	Mignolet Michel	1998-03-13	en	1
6785	The emergence of a “City of Cages” in Lima : neighbourhood appropriation in the context of rising insecurities	gated communities,residential enclaves,Latin America,Lima,spatial control,state failure,fortification,insecurity,social inequalities,urban structure	Plöger Jörg	2007-06-05	en	1
7058	Geocriminology, when cartography allows geographers to intrust criminology	Geocrimonology,crime and delinquency,security/safety,spatial analysis,geographical information system	Cunty Claire,Fussy Fabrice,Perez Pascale	2007-06-08	fr	1
1643	A school for academic as unusual experts : the 1930s and mapping in geography		Robic Marie-Claire	2000-11-17	fr	1
1644	From individual statements to market maps : a geomarketing approach to public transport Planning	generalised additive models,geomarketing,spatial generalisation,stated preference,travel behaviours,urban public transport	Banos Arnaud	2002-07-25	en	1
490	Graphic science developments from 1967 to 1997		Bonin Serge	2000-11-17	fr	1
493	Graphic semiology towards coldness : a producer view point in Norway		Baudouin Axel	2000-11-17	fr	1
497	Cartography in urban and regional planning : what brought the Jacques Bertin's graphic semiology to the discipline ?		Steinberg Jean	2000-11-17	fr	1
499	Theoretical challenge in cartography leads to cognition		Ferland Yaïves	2000-11-17	fr	1
501	Geography and graphic semiology : two different ways towards space	graphic semiology	Bord Jean-Paul	2000-11-17	fr	1
504	Constraint quantitative point data	graphic semiology	Beguin Michèle	2000-11-17	fr	1
506	Bertin, lexis and the graphical representation of event histories		Francis Brian,Pritchard John	2000-11-17	en	1
509	Dynamic visualization in a developing framework for the representation of geographic data<a class="endnotecall" id="bodyftn1" href="#ftn1">i</a>	graphic semiology	Blok Connie	2000-11-17	en	1
1625	The third choice	graphic semiology	Rød Jan Ketil	2000-11-17	en	1
1627	From households to urban structures: space representations as engine of dynamics in multi-agent simulations 	urban segregation,simulation,household,representation,multi-agent	Bonnefoy Jean-Luc	2003-01-31	en	1
515	Introduction		Orhan Jean-Marc	1997-12-12	fr	0
553	Colloque : 30 ans de sémiologie graphique			1997-12-12	fr	0
554	Where does semiology graphic comes from ?	Bertin (Jacques),cartography,France,graphical semiotic,XXth century	Palsky Gilles,Robic Marie-Claire	2000-11-17	fr	1
560	A Fuzzy Set Approach to Using Linguistic Hedges in Geographical Information Systems		Brimicombe Allan	1998-12-08	en	1
563	Euroquant at 21 : “coming of age” ?		Unwin David	1999-11-17	en	1
566	Long-term dynamics of European towns and cities : towards a spatial model of urban growth 	urban system,urban growth,spatial convergence,self-organization theory	Bretagnolle Anne,Mathian Hélène,Pumain Denise,Rozenblat Céline	2000-03-29	en	1
591	Cartographie et intelligence artificielle		Pumain Denise	2005-11-15	fr	0
592	Jeux d’échelles, ou quand la quantité change la qualité		Pumain Denise	2004-12-12	fr	0
593	Les tentations de la bibliométrie : mesure et démesure		Pumain Denise	2004-09-12	fr	0
594	Du local au global, une géographie sans échelles ?		Pumain Denise	2003-09-12	fr	0
595	L'âge de raison		Pumain Denise	2003-05-12	fr	0
600	Le sacre du printemps		Pumain Denise	2002-03-12	fr	0
601	Prévoir et gérer le risque		Pumain Denise	2001-12-12	fr	0
589	La publication scientifique en ligne et le libre accès. Pourquoi tant de retard ?		Kosmopoulos Christine	2005-05-12	fr	0
596	Géographes attentifs au temps		Pumain Denise	2003-01-12	fr	0
598	La géographie au sommet		Pumain Denise	2002-08-30	fr	0
599	Le temps et l'espace. Des universaux dans la concurrence		Pumain Denise	2002-06-12	fr	0
602	Au milieu du monde : le centre et ses réseaux		Pumain Denise	2001-10-12	fr	0
603	Science et Patience		Pumain Denise	2001-06-12	fr	0
604	Chercher pour transmettre		Pumain Denise	2001-01-12	fr	0
605	Réinventer la géodiversité		Pumain Denise	1999-12-12	fr	0
606	Nouvelles de la rentrée		Pumain Denise	1999-10-12	fr	0
607	Eté, mode d'emploi		Pumain Denise	1999-07-12	fr	0
608	L'audience		Pumain Denise	1999-05-12	fr	0
609	Cybergeo et l'interactivité		Pumain Denise	1999-02-12	fr	0
610	Internet et la géographie		Pumain Denise	1998-07-12	fr	0
611	Faut-il supprimer la géographie ?		Pumain Denise	1998-05-12	fr	0
612	Editorial du 16 Juin 1997		Pumain Denise	1997-06-16	fr	0
920	Accès libre et qualité scientifique : les ressources de Cybergeo		Pumain Denise	2006-04-12	fr	0
614	Actes des journées. Télédétection en Sciences Humaines		Cuq François	2009-09-25		0
1679	Atmospherical corrections in remote sensing : using the 5S-PC software	remote sensing	Kergomard Claude	2000-05-05	fr	1
618	Land-Use and Land-Cover Change : LUCC	remote sensing	Podaire Alain	2000-05-05	fr	1
620	Evolution of the Algöl lake (eastern part of the Konya plain)	remote sensing	Kuzucuoglu Catherine,Servain Sylvie	2000-05-05	fr	1
623	Analyse de la mobilité des paysages et des systèmes sociaux en Thessalie : l’apport des images Landsat TM	remote sensing	Helly Bernard,Salvador Pierre-Gil,Tamru Bezunesh,Fouache Éric	2000-05-05	fr	0
4811	Retrospective geomatic landscape modelling by multicritera evaluation and multiobjective evaluation	GIS,historic landscape,modelling,multi-objective evaluation,nulti-criteria evaluation	Olmedo María Teresa Camacho,Paegelow Martin,Martínez Pilar García	2007-03-09	fr	1
4825	Fractal distribution of Ski lifts and Ski slopes. Example of the Serre Chevalier resort	complexity,fractals,ski lifts,ski resort,ski slopes	Brissaud Ivan	2007-03-09	fr	1
635	Paléohydrographie et archéologie de l’espace rural en pays tricastin (France, Drôme) : de l’archéologie aérienne à la télédétection satellitaire	remote sensing	Tounsi Ibtissem,Favory François,Berger Jean-François,Chouquer Gérard,Jung Cécile,Odiot Thierry	2000-05-05	fr	0
638	The Syrian Euphrate middle valley : introduction to the cartography of surface state and draining in view of a paleoenvironmental analysis	remote sensing	Tamru Bezunesh,Chataigner Ch.,Salvador Pierre-Gil	2000-05-05	fr	1
640	Milieu and society on the arid fringe of the fertile cruscant : remote sensing and GIS for a geo-archeological study	remote sensing	Debaine Françoise	2000-05-05	fr	1
642	Archeology and remote sensing : mapping the Mahastan landscapes, Bangladesh using Spot data	remote sensing	Jacqueminet Christine,Salles Jean-François,Dalongeville Rémi,Dupuis Bernard,Pédoja3 Kévin	2000-04-27	fr	1
665	Forest structures and dynamics in moderate climate	remote sensing	Geroyannis Hélène,Gilg Jean-Paul,Julien-Laferrière B.,Hotyat Micheline,Godard Vincent,Simon Laurent	2000-05-05	fr	1
672	Finding biogeographic dynamic pointer in Pyrénées middle mountain through multiscalar and multiperiod remote sensing use	remote sensing	Selleron Gilles,Vidal Franck	2000-05-05	fr	1
675	The remote sensing dimension in a cooperative research program on mountainside: cases in Ecuador, Rwanda and Viet-Nam	remote sensing	Pouyllau Michel,Puythorac F.,Vergnes A.,Lagrée S.,Tu Dan Nguyen,Xuan Thu Ha Thi,Anh Tuan Luong,Amelot Xavier,Pouille Fabien	2000-05-05	fr	1
678	Water in the coal basin of the Nord Pas-de-Calais : lessons from remote sensing use in the study of man-hydrosystem interactions	remote sensing	Laganier Richard	2000-05-05	fr	1
692	A dynamic study of romano-byzantins settlements in North Syria : parcel and survey location	remote sensing	Tate Georges,Bilgen Pierre,Gilg Jean-Paul	2000-05-05	fr	1
696	Neuronal classification of natural space's textures using radar sensing	remote sensing	Jeansoulin Robert,Mainguenaud Ph.	2000-05-05	fr	1
699	Instant measures of agricultural rotation duration in Nepal and India through covered surfaces' intrapixel numbering	remote sensing	Blamont Denis,Raffy Marcel	2000-05-05	fr	1
702	Snow surface in the Alpes : Landsat use and a model for earth mantle metamorphism	remote sensing	Dedieu Jean-Pierre,Fily M.,Durand Yves,Sergent C.	2000-04-26	fr	1
707	A study of the Samarcande valley using remote sensing	remote sensing	Le Tourneau François-Michel,Gentelle Pierre	2000-05-05	fr	1
710	Archeological and urban research in Samarcande : Building a database and using 3D representation	remote sensing	Coulais Jean-François	2000-05-05	fr	1
921	Free access and scientific quality: Cybergeo's resources		Pumain Denise	2006-04-12	en	1
922	Senecal G., Saint-Laurent D.(dir.), 2000, <em>Les espaces dégradés. Contraintes et conquêtes</em>, Presses de l´Université du Québec, 300 p.		Chevalier Jean-Pierre	2001-11-03	fr	0
727	Cartography and Artificial Intelligence		Pumain Denise	2005-11-12	en	1
728	Scientific publishing online,and the question of open access. Why such a long delay?		Kosmopoulos Christine	2005-05-12	en	1
729	A Game of Scales, or When Quantity Changes Quality		Pumain Denise	2004-12-12	en	1
730	The Temptations of Bibliometry: measure and excess		Pumain Denise	2004-09-12	en	1
716	Growth process and urban limits	remote sensing	Weber Christiane,Hirsch Jacky	2000-04-25	fr	1
719	Beyrouth urban fringe and spatial extension : the use of Spot data	remote sensing	Davie Michael F,Drouot Jean-Louis	2000-04-25	fr	1
722	The use of remote sensing in land occupation dynamics' studies : the south-american cities' case	remote sensing	Delavaud Anne Collin	2000-05-05	fr	1
731	From the Local to the Global, a Geography without Limits		Pumain Denise	2003-09-12	en	1
732	The Age of Reason		Pumain Denise	2003-05-12	en	1
733	Geographers paying attention to time		Pumain Denise	2003-01-12	en	1
734	Geography at the Summit		Pumain Denise	2002-08-12	en	1
735	Time and Space, Competing Universes		Pumain Denise	2002-06-12	en	1
737	Bourdin A., Lefeuvre M.-P., Mélé P.(dir.), 2006, <em>Les règles du jeu urbain. Entre droit et confiance</em>, Descartes &amp; Cie, Les Urbanités, Paris, 316 pages		Sabatier Bruno	2006-10-24	fr	0
739	Souami T., Verdeil E., 2006, <em>Concevoir et gérer les villes</em><em> - Milieux d'urbanistes du sud de la Méditerranée, </em>Economica, Anthropos, collection « Villes », 230 p.		Barthel Pierre Arnaud	2006-10-25	fr	0
741	Blais H., 2005, <em>Voyages au Grand Océan. Géographies du Pacifique et colonisation, 1815-1845</em>, Paris, Comité des travaux historiques et scientifiques, 352 p.		Robic Marie-Claire	2006-09-27	fr	0
742	Frolova M., 2006, <em>Les Paysages du Caucase. Invention d’une montagne</em>, Paris, Comité des travaux historiques et scientifiques, 206 p.		Robic Marie-Claire	2006-09-27	fr	0
853	Bouinot J., 2002, <em>La Ville Compétitive ; Les clés de la nouvelle gestion urbaine</em>. Paris, Economica, collection Gestion, 180 pages.		Pumain Denise	2002-08-28	fr	0
743	Wacquant L., 2006, <em>Parias urbains. Ghetto – Banlieues – Etat</em>, Paris, La Découverte, 332 p.		Blidon Marianne	2006-09-26	fr	0
745	Robic M.-C. (coord.), 2006,<em> Couvrir le monde. Un grand XX<sup>e</sup> siècle de géographie française</em>, Paris, ADPF-Ministère des Affaires étrangères, 229 pages.		Arrault Jean-Baptiste	2006-06-27	fr	0
748	Pierre G., 2004, <em>Agriculture dépendante et agriculture durable. La PAC et les plateaux du sud-est du Bassin parisien</em>, Paris, Publications de la Sorbonne, 328 p.		Calbérac Yann	2005-11-23	fr	0
750	Gravari-Barbas M. (dir.), 2005, <em>Habiter le patrimoine. Enjeux, approches, vécu</em>, Rennes, P.U.R., 618 p.		Blidon Marianne	2005-11-23	fr	0
751	Garat I., Pottier P., Guineberte Th., Jousseaume V., Madore F., 2005,<em> Nantes, De la belle endormie au nouvel Eden de l'Ouest</em>, Paris, Anthropos-Economica, collection Villes, 162 p.		Vielhescaze Camille	2005-11-22	fr	0
753	Berthelot J.-M.(dir), 2003, <em>Figures du texte scientifique</em>, Paris, PUF , 312 p.		Mendibil Didier	2005-11-21	fr	0
755	Heurley J., 2003, <em>L’Irlande</em>, Paris, PUF, coll. Que sais-je ?, 127 p.		Guérois Marianne	2005-08-11	fr	0
757	Berdoulay, V., da Costa Gomes P. C., Lolive J., 2004, <em>L’espace public à l’épreuve. Régressions et émergences</em>, Maison des Sciences de l’Homme d’Aquitaine, Pessac, 224 p.		Fleury Antoine	2005-09-27	fr	0
760	Moulinier L., Sallmann L., Verna C. et Weill-Parot N.(dir.), <em>La juste mesure. Quantifier, évaluer, mesurer, entre Orient et Occident (VIIIe-XVIIIe siècle)</em>, Saint-Denis, Presses Universitaires de Vincennes, Collection Temps et espaces, 2005, 205 pages.		Verdier Nicolas	2005-09-09	fr	0
762	Dubreuil V. (dir.), 2002,<em> Environnement et télédétection au Brésil</em>, Editions Presses Universitaires de Rennes		Cohen Marianne	2005-04-20	fr	0
764	Leitmotive, temps et contretemps de l’urbain. Les <em>Lectures de villes</em> de Marcel Roncayolo		Walter François	2005-04-12	fr	0
766	David BROOKS, 2000, <em>Les Bobos, Les bourgeois bohèmes </em>, trad. par M. Thirioux et A. Nabet, Paris, Florent Massot, coll. Le livre de poche, 314 p.		Clerval Anne	2005-03-17		0
768	Bethemont J., <em>La Méditerranée en partage, documentation photographique, dossier n° 8039</em>, Paris, La Documentation Française, 2004.		Palsky Gilles	2005-03-17	fr	0
777	VAN DUZER Chet, <em>Floating Islands. A global Bibliography</em>. With an Edition and Translation of G.C. Munz’s <em>Exercitatio academica de insulis natantibus</em> (1711), Los Altos Hills, Cantor Press, 2004, 404 p., 24 photos couleurs.		Chamussy Henri	2003-03-16		0
779	Courgeau D., 2004, <em>Du groupe à l’individu. Synthèse multi-niveau</em>, Paris, INED*.		Pumain Denise	2005-01-13	fr	0
780	Amar G., 2004, <em>Mobilités urbaines. Éloge de la diversité et devoir d’invention</em>. Paris, Édition de l’Aube. Collection Société et Territoire. Série Prospective du présent. 251 p.		Charpentier Angèle	2005-01-13	fr	0
782	José Omar Moncada Maya (dir), 2003, Geografía de la Ilustración (La géographie du siècle des Lumières). Instituto Unam Geografía.<br />« Themas selectos de geografía de México », 226 p.		Reynaud Laurence	2004-12-21		0
784	José Omar Moncada Maya, 2003, El nacimiento de una disciplina : la geografía au Mexique (siglos XVIe a XIXe (La naissance d’une discipline : la géographie au Mexique (du XVIe au XIXe siècles)). Instituto Unam Geografía. « Themas selectos de geografía de México ». 131 p.		Reynaud Laurence	2004-12-20		0
785	Le Roux A., 2003, Didactique de la géographie, Presses universitaires de Caen, 268 p.		Chevalier Jean-Pierre	2004-12-17		0
786	Maria Giuseppina Lucia, 1999<em> La Geografia Finanziaria, Mercati e Territorio</em>, Bologna, Pàtron Editore, 229 p.		Laulajainen Risto	2004-11-23	en	1
788	National Research Council, 2003, <em>Cities Transformed.  Demographic Change and its Implications in the Developing World</em>. Panel on Urban Population Dynamics, M. Montgomery, R. Stren, B. Cohen. and H. Reed (eds.), Committee on Population, Division of Behavioural and Social Sciences and Education.  Washington, DC: The National Academies Press.		Thomas Isabelle	2004-10-06	fr	0
789	Collignon B. et Staszak J.-F. (dir.),2003, <em>Espaces domestiques. Construire, habiter, représenter</em>, Paris, Bréal.		Blidon Marianne	2004-10-05	fr	0
790	Bopda A., 2003, <em>Yaoundé et le défi camerounais de l’intégration. À quoi sert une capitale d’Afrique tropicale ?</em> Paris, CNRS Editions, 422 p.		Chevalier Jean-Pierre	2004-10-04	fr	0
791	Martouzet D., 2001, <em>Fort-de-France ville fragile ?</em>, collection villes, Anthropos, Economica, Paris, 253 p.		Desse Michel	2004-05-03	fr	0
793	Sanders L. (dir), 2001, <em>Modèles en analyse spatiale</em>, Paris, Hermès lavoisier.		Michelin Yves	2004-04-06	fr	0
795	Moser G ., Weiss K. (dir), 2003, <em>Espaces de vies. Aspects de la relation homme-environnement.</em> Paris. A. Colin. Collection Sociétales. 396 p.		Charpentier Angèle	2004-02-17	fr	0
796	BESSE Jean-Marc, 2003, <em>Face au monde. Atlas, jardins, géoramas,</em> Paris, Desclée de Brouwer, Coll. "Arts et esthétique", 244 p.		Chamussy Henri	2004-01-22		0
797	Dorin B., Landy F., 2002, <em>Agriculture et Alimentation de l’Inde, les vertes années (1947-2001)</em>, Paris, Institut National de la Recherche Agronomique, collection " Espaces ruraux ".		Didelon Clarisse	2004-01-19	fr	0
799	Lepetit B., Topalov C., 2001, <em>La ville des sciences sociales,</em> Belin, 409 p.		Blanc Nathalie	2003-12-15	fr	0
801	Pumain D., Mattei M.-F. (dir), 2003, <em>Données urbaines </em>4, Collection Villes, Anthropos-Economica, avec le concours de l’INSEE, de l’ACI Ville du ministère de la recherche et le soutien du CNRS, 429 p.		Rozenblat Céline	2003-12-08	fr	0
802	Roncayolo M., 2002, <em>Lectures de villes, Formes et Temps</em>, Marseille, Editions Parenthèses, 386 p.		Labinal Guilhem	2003-11-14	fr	0
804	Gaudin T., Hatchuel A. (dir), 2002, <em>Les nouvelles raisons du savoir, </em>La Tour d'Aigues, Ed. de l'Aube, coll. "essais", 320 p.		Collignon Béatrice	2003-11-14	fr	0
806	Dufaux F., Fourcaut A., Skoutelsky R., 2003, <em>Faire l’histoire des grands ensembles. Bibliographie 1950-1980</em>, Lyon, ENS Éditions.		Verdier Nicolas	2003-11-13	fr	0
807	Lagnier S., 2001, <em>Sculpture et espace urbain en France. Histoire de l’instauration d’un dialogue 1951-1992</em>, Paris, L’Harmattan, coll. "Logiques sociales", 291 p. ISBN 2-7475-1172-3		Boutouyrie Eric	2003-11-11	fr	0
809	Reitel B., Zander P., Piermay J.L., Renard JP (coord.), 2002, <em>Villes et frontières</em>, Paris, Economica- Anthropos, collection Villes, 268 p.		Buxeda Cécile	2003-09-19	fr	0
811	Virmani A., 2001, L´Inde, une puissance en mutation", <em>Problèmes politiques et sociaux</em> , n°866, Paris, la documentation française.		Oliveau Sébastien	2003-08-01	fr	0
813	Bhalla G.S., Racine J.L., Landy F.(eds), 2002, <em>Agriculture and the world trade organisation. </em><em>Indian and French Perspectives</em>, Paris, Editions de la Maison des sciences de l´Homme.		Didelon Clarisse	2003-07-31	fr	0
814	Grison L., 2002<em>, Figures fertiles. Essai sur les figures géographiques dans l´art occidental</em>, Nîmes: Editions Jacqueline Chambon, Collection Rayon Art, 271 p.		Milhaud Olivier	2003-06-27	fr	0
823	Smith D., 2000,<em> Moral Geographies. Ethics in a World of Difference</em>, Edinburgh University Press, 244 p.	moral geography,moral philosophy,space	Milhaud Olivier	2003-05-26	fr	0
830	Di Méo G. (dir.), 2001, <em>La géographie en fêtes</em>, Paris, OPHRYS, 270 p.		Queva Christophe	2003-05-26	fr	0
832	Gourdon J.-L., 2001, <em>La rue – Essai sur l´économie de la forme urbaine</em>, La Tour d´Aigues, éditions de l´Aube, 285 p.		Fleury Antoine	2005-05-26	fr	0
833	Cambrézy L., 2001, <em>Réfugiés et exilés.Crise des sociétés, crise des territoires</em>, Paris, Editions des archives contemporaines, 216 p.		Guérois Marianne	2003-03-03	fr	0
834	CERTU, 2000, La Forme des villes. Caractériser l´étalement urbain et réfléchir à de nouvelles modalités d´actions, Lyon, 178 p.		Guérois Marianne	2003-02-28		0
835	Bidou-Zachariasen C. (dir.), 2003, <em>Retours en ville - des processus de "gentrification" urbaine aux politiques de "revitalisation" des centres</em>, Paris, Descartes et Cie, collection "Les urbanités", 267 p.		Fleury Antoine	2003-05-26	fr	0
836	Pelletier Monique, 2002, Les Cartes Cassini, la science au service de l´état et des régions. Paris, Ed Cths, 338 p.		Laurent Nocco	2003-02-27		0
838	Velut S., 2002, <em>L´Argentine. Des provinces à la nation, </em>Paris, Presses Universitaires de France, collection Géographies, 296 p.		Zamorano Gloria	2003-02-26	fr	0
840	Pinchemel Philippe, Clergeot Pierre, 2001, <em>La Terre écrite</em>. Paris, Editions Publi-Topex, 69 p.		Pumain Denise	2003-02-06	fr	0
841	Dupuy G., 2002, <em>Internet, géographie d´un réseau</em>. Ellipses, coll. Carrefours, 160 p.		Pumain Denise	2003-02-05	fr	0
842	DATAR, collection bibliothèque des territoires. Editions de l´Aube.		Pumain Denise	2003-02-04	fr	0
