Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 1368899979949066124 - t : Amirou R., Bachimon P. (dir.), 2000, <em>Le tourisme local - Une culture de l´exotisme</em>, Paris, L´Harmattan. - year : 2001-05-03
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 305539769431475878 - t : Renard J., 2002, <em>Les mutations des campagnes. Paysages et structures agraires dans le monde</em>, Paris, Armand Colin (Collection U Géographie), 221 p. - year : 2002-10-14
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 305539769431475878 - t : Renard J., 2002, <em>Les mutations des campagnes. Paysages et structures agraires dans le monde</em>, Paris, Armand Colin (Collection U Géographie), 221 p. - year : 2002-10-14
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 3331299383410697009 - t : PPR, urbanisation et risques d’incendie de forêt dans les Pyrénées-Orientales : méthodes, enjeux, débats - year : 2011
Corpus cited : citing refs : 0.0 % ; ref Ref  - schID : 5049738178847965890 - t : Risques collectifs et situations de crise. Apports de la recherche en sciences humaines et sociales - year : 2003
Corpus cited : citing refs : 20.0 % ; ref Ref  - schID : 9748243964761232802 - t : La protection des fôrets contre l'incendie: d'une affaire locale et privée à un problème départemental: l'exemple des Pyrénées-Orientales (1920-1970) - year : 2007
Corpus cited : citing refs : 40.0 % ; ref Ref  - schID : 8663598681002827795 - t : Causality and management of forest fires in Mediterranean environments: an example from Catalonia - year : 2002
Corpus cited : citing refs : 60.0 % ; ref Ref  - schID : 5782756694239793082 - t :  Plans de prévention des risques naturels (PPR): risques d'incendies de forêt: guide méthodologique - year : 2002
Corpus cited : citing refs : 80.0 % ; ref Ref  - schID : 5221297168504005639 - t :  Articuler les niveaux territoriaux de l'action publique. La politique de sécurisation du territoire contre les incendies de forêt - year : 2007
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 3331299383410697009 - t : PPR, urbanisation et risques d’incendie de forêt dans les Pyrénées-Orientales : méthodes, enjeux, débats - year : 2011
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 13641350094684458307 - t : Pour une approche de la cognition spatiale intra-urbaine - year : 1999
Corpus cited : citing refs : 0.0 % ; ref Ref  - schID : 4602585163580529847 - t : Some applications of computer cartography to the study of cognitive configurations - year : 1982
Corpus cited : citing refs : 5.2631578947368425 % ; ref Ref  - schID : 12104261435635412683 - t :  Man, Space, and Environment Concepts in Contemporary Human Geography - year : 1972
Corpus cited : citing refs : 10.526315789473685 % ; ref Ref  - schID : 17346930550894920660 - t :  La dimension cachée - year : 1971
Corpus cited : citing refs : 15.789473684210526 % ; ref Ref  - schID : 13556364560560320742 - t :  Environment and Behavior: Planning and Everyday Urban Life - year : 1977
Corpus cited : citing refs : 21.05263157894737 % ; ref Ref  - schID : 12747187196211613760 - t :  L'urbanisation du monde: depuis 1950 - year : 1993
Corpus cited : citing refs : 26.31578947368421 % ; ref Ref  - schID : 18176099656308383538 - t :  Maps in minds: Reflections on cognitive mapping - year : 1977
Corpus cited : citing refs : 31.57894736842105 % ; ref Ref  - schID : 1698323483290481805 - t :  Psychologie et environnement - year : 1980
Corpus cited : citing refs : 36.8421052631579 % ; ref Ref  - schID : 13201668423508423961 - t : Dual coding theory: Retrospect and current status. - year : 1991
Corpus cited : citing refs : 42.10526315789474 % ; ref Ref  - schID : 12882288092628827726 - t :  Methods and methodological issues in environmental cognition research - year : 1976
Corpus cited : citing refs : 47.36842105263158 % ; ref Ref  - schID : 11389372525927044483 - t :  Psychologie et différences individuelles: questions actuelles: - year : 1997
Corpus cited : citing refs : 52.63157894736842 % ; ref Ref  - schID : 18154083094738104292 - t :  Voir et planifier: l'aménagement qualitatif de l'espace - year : 1982
Corpus cited : citing refs : 57.89473684210526 % ; ref Ref  - schID : 9331569655905366806 - t :  The psychology of place - year : 1977
Corpus cited : citing refs : 63.1578947368421 % ; ref Ref  - schID : 10239112618286347618 - t :  Cognition and reality: Principles and implications of cognitive psychology. - year : 1976
Corpus cited : citing refs : 68.42105263157895 % ; ref Ref  - schID : 5688613251152908454 - t :  Metaphors we live by - year : 1980
Corpus cited : citing refs : 73.6842105263158 % ; ref Ref  - schID : 13039466216910986528 - t :  An analysis of the distortion and fuzziness of cognitive maps by location - year : 1980
Corpus cited : citing refs : 78.94736842105263 % ; ref Ref  - schID : 8061551982847363198 - t :  La représentation de l'espace urbain: l'exemple du chauffeur de taxi - year : 1970
Corpus cited : citing refs : 84.21052631578948 % ; ref Ref  - schID : 2743832342957974659 - t : Une approche des espaces cognitifs piétonniers: un exemple à Strasbourg - year : 1988
Corpus cited : citing refs : 89.47368421052632 % ; ref Ref  - schID : 12762733441722490920 - t : Espace urbain: image mentale et déformation fonctionnelle - year : 1989
Corpus cited : citing refs : 94.73684210526316 % ; ref Ref  - schID : 7274125227566314925 - t :  Vers une science des civilisations? - year : 1981
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 13641350094684458307 - t : Pour une approche de la cognition spatiale intra-urbaine - year : 1999
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 5854253757779545414 - t : Collignon B. et Staszak J.-F. (dir.),2003, <em>Espaces domestiques. Construire, habiter, représenter</em>, Paris, Bréal. - year : 2004-10-05
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 5854253757779545414 - t : Collignon B. et Staszak J.-F. (dir.),2003, <em>Espaces domestiques. Construire, habiter, représenter</em>, Paris, Bréal. - year : 2004-10-05
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 6434177407385527896 - t : Politiques de la fragmentation urbaine et violence, l’exemple de Kingston, Jamaïque - year : 2010
Corpus cited : citing refs : 0.0 % ; ref Ref  - schID : 5684592061102663760 - t :  Essays on the theory of Plantation Economy - year : 2009
Corpus cited : citing refs : 7.142857142857143 % ; ref Ref  - schID : 10122960372619569191 - t :  Dictionnaire géopolitique des drogues - year : 2003
Corpus cited : citing refs : 14.285714285714286 % ; ref Ref  - schID : 14766825976231277542 - t : The Historical Roots of Violence in Jamaica - year : 2003
Corpus cited : citing refs : 21.428571428571427 % ; ref Ref  - schID : 2103462737248288181 - t :  Decolonizing the colonial city: urbanization and stratification in Kingston, Jamaica - year : 2006
Corpus cited : citing refs : 28.571428571428573 % ; ref Ref  - schID : 8041804422526695094 - t :  What effects does extortion have on the operations and profitability of building construction industry in Kingston - year : 2003
Corpus cited : citing refs : 35.714285714285715 % ; ref Ref  - schID : 18168036513077038797 - t :  Consequences of structural adjustment: a review of the Jamaican experience - year : 1994
Corpus cited : citing refs : 42.857142857142854 % ; ref Ref  - schID : 1216837382349874103 - t :  Elections, Violence, and the Democratic Process in Jamaica, 1944-2007 - year : 2010
Corpus cited : citing refs : 50.0 % ; ref Ref  - schID : 865855656179488555 - t :  The Island of One People: An Account of the History of the Jews of Jamaica - year : 2006
Corpus cited : citing refs : 57.142857142857146 % ; ref Ref  - schID : 5483773303271239253 - t : L'antimonde caribéen, entre les Amériques et le monde - year : 2009
Corpus cited : citing refs : 64.28571428571429 % ; ref Ref  - schID : 6104471248169030953 - t : Social identities and the escalation of homicidal violence in Jamaica - year : 2003
Corpus cited : citing refs : 71.42857142857143 % ; ref Ref  - schID : 15128616333100707022 - t :  Geography and politics in a world divided - year : 1973
Corpus cited : citing refs : 78.57142857142857 % ; ref Ref  - schID : 12608312203144488728 - t :  Le premier rasta - year : 1999
Corpus cited : citing refs : 85.71428571428571 % ; ref Ref  - schID : 786941017052508344 - t :  Shower posse: The Most Notorious Jamaican Criminal Organisation - year : 2002
Corpus cited : citing refs : 92.85714285714286 % ; ref Ref  - schID : 15204456293769453785 - t :  Plantation economy in the age of globalisation - year : 2009
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 6434177407385527896 - t : Politiques de la fragmentation urbaine et violence, l’exemple de Kingston, Jamaïque - year : 2010
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 15052383585111522160 - t : Croissance urbaine et dynamiques socio-spatiales des territoires ouvriers à Phnom Penh - year : 2012
Corpus cited : citing refs : 0.0 % ; ref Ref  - schID : 4815952991030987948 - t : Industrialisation et expansion mégapolitaine: le corridor du littoral sud-est de Bangkok - year : 2010
Corpus cited : citing refs : 5.882352941176471 % ; ref Ref  - schID : 4490403842136244137 - t :  Quand la rizière rencontre l'asphalte...: semis urbain et processus d'urbanisation à Java-est, Indonésie - year : 1993
Corpus cited : citing refs : 11.764705882352942 % ; ref Ref  - schID : 11362350331681711490 - t :  Accords multifibres et nouvelles fonctions de protectionisme - year : 1981
Corpus cited : citing refs : 17.647058823529413 % ; ref Ref  - schID : 3829911320058328712 - t :  La place du droit et ses limites dans le système commercial multilatéral du GATT - year : 1983
Corpus cited : citing refs : 23.529411764705884 % ; ref Ref  - schID : 16077021487982296775 - t :  A l'ombre de Hong Kong: la delta de la rivière des Perles - year : 1997
Corpus cited : citing refs : 29.41176470588235 % ; ref Ref  - schID : 13992142370614830421 - t : Mutations économiques et recompositions territoriales en Asie du Sud et du Sud-Est: introduction - year : 2010
Corpus cited : citing refs : 35.294117647058826 % ; ref Ref  - schID : 12489558888251006804 - t :  Le Cambodge, de l'ère des quotas textiles au libre-échange - year : 2004
Corpus cited : citing refs : 41.1764705882353 % ; ref Ref  - schID : 2797826110977127742 - t : Quartier et lien social: des pratiques individuelles à l'action collective - year : 1998
Corpus cited : citing refs : 47.05882352941177 % ; ref Ref  - schID : 6838648892100800330 - t : A fair model of globalisation? Labour and global production in Cambodia - year : 2010
Corpus cited : citing refs : 52.94117647058823 % ; ref Ref  - schID : 1446695444389928174 - t : Dynamique urbaine et métropolisation en Asie du Sud-Est: une perspective à partir de Bangkok et de Singapour - year : 2010
Corpus cited : citing refs : 58.8235294117647 % ; ref Ref  - schID : 3207807221724291537 - t : La relocalisation des activités industrielles: une approche centre-périphérie des dynamiques mondiale et européenne - year : 2010
Corpus cited : citing refs : 64.70588235294117 % ; ref Ref  - schID : 3756628650258588500 - t :  Le textile-habillement: une industrie de pointe! - year : 1989
Corpus cited : citing refs : 70.58823529411765 % ; ref Ref  - schID : 3416859881570121774 - t :  Migrant women and work - year : 2006
Corpus cited : citing refs : 76.47058823529412 % ; ref Ref  - schID : 8782485453749482094 - t :  The Extended Metropolis: Settlement Transition Is Asia - year : 1991
Corpus cited : citing refs : 82.3529411764706 % ; ref Ref  - schID : 4876182552864547065 - t :  La rue en Asie - year : 2010
Corpus cited : citing refs : 88.23529411764706 % ; ref Ref  - schID : 8379835345755407954 - t :  Villes et campagnes dans les pays du Sud: géographie des relations - year : 1999
Corpus cited : citing refs : 94.11764705882354 % ; ref Ref  - schID : 12670777593942381464 - t : Combining global and local forces: The case of labor rights in Cambodia - year : 2006
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 15052383585111522160 - t : Croissance urbaine et dynamiques socio-spatiales des territoires ouvriers à Phnom Penh - year : 2012
Corpus null : cited refs : 0.0 % ; ref : Ref  - schID : 11254389379718810919 - t : SLIDER: Software for LongItudinal Data Exploration with R - year : 2014
Corpus cited : citing refs : 0.0 % ; ref Ref  - schID : 12211193027499610440 - t :  Visualization of time-oriented data - year : 2011
Corpus cited : citing refs : 20.0 % ; ref Ref  - schID : 7545570305266646536 - t : Predicting successful and unsuccessful transitions from school to work by using sequence methods - year : 2002
Corpus cited : citing refs : 40.0 % ; ref Ref  - schID : 15226821753257342989 - t :  The visual display of quantitative information - year : 1983
Corpus cited : citing refs : 60.0 % ; ref Ref  - schID : 6190146663644652460 - t :  Reshaping data with the reshape package - year : 2007
Corpus cited : citing refs : 80.0 % ; ref Ref  - schID : 6311461449366685710 - t :  ggplot2: Elegant graphics for data analysis - year : 2009
Corpus null : citing refs : 0.0 % ; ref Ref  - schID : 11254389379718810919 - t : SLIDER: Software for LongItudinal Data Exploration with R - year : 2014
