"x";"y";"moran";"distance";"entropy";"slope";"rsquaredslope";"pop";"max"
"37";3601;1;NA;NA;NA;NA;NA;NA;NA
"38";3701;1;NA;NA;NA;NA;NA;NA;NA
"39";3801;1;NA;NA;NA;NA;NA;NA;NA
"40";3901;1;NA;NA;NA;NA;NA;NA;NA
"41";4001;1;NA;NA;NA;NA;NA;NA;NA
"42";4101;1;NA;NA;NA;NA;NA;NA;NA
"43";4201;1;NA;NA;NA;NA;NA;NA;NA
"44";4301;1;NA;NA;NA;NA;NA;NA;NA
"45";4401;1;NA;NA;NA;NA;NA;NA;NA
"46";4501;1;NA;NA;NA;NA;NA;NA;NA
"47";4601;1;NA;NA;NA;NA;NA;NA;NA
"48";4701;1;NA;NA;NA;NA;NA;NA;NA
"49";4801;1;NA;NA;NA;NA;NA;NA;NA
"50";4901;1;NA;NA;NA;NA;NA;NA;NA
"51";5001;1;NA;NA;NA;NA;NA;NA;NA
"52";5101;1;NA;NA;NA;NA;NA;NA;NA
"53";5201;1;NA;NA;NA;NA;NA;NA;NA
"54";5301;1;NA;NA;NA;NA;NA;NA;NA
"55";5401;1;NA;NA;NA;NA;NA;NA;NA
"56";5501;1;NA;NA;NA;NA;NA;NA;NA
"57";5601;1;NA;NA;NA;NA;NA;NA;NA
"58";5701;1;NA;NA;NA;NA;NA;NA;NA
"59";5801;1;NA;NA;NA;NA;NA;NA;NA
"60";5901;1;NA;NA;NA;NA;NA;NA;NA
"61";6001;1;NA;NA;NA;NA;NA;NA;NA
"62";6101;1;NA;NA;NA;NA;NA;NA;NA
"63";6201;1;NA;NA;NA;NA;NA;NA;NA
"64";6301;1;NA;NA;NA;NA;NA;NA;NA
"65";6401;1;NA;NA;NA;NA;NA;NA;NA
"66";6501;1;NA;NA;NA;NA;NA;NA;NA
"67";6601;1;NA;NA;NA;NA;NA;NA;NA
"68";6701;1;NA;NA;NA;NA;NA;NA;NA
"69";6801;1;NA;NA;NA;NA;NA;NA;NA
"70";6901;1;NA;NA;NA;NA;NA;NA;NA
"71";7001;1;NA;NA;NA;NA;NA;NA;NA
"72";7101;1;NA;NA;NA;NA;NA;NA;NA
"73";7201;1;0.0462476043827111;0.268507525716963;0.752569270335421;-0.971030190305572;0.922095256114585;38507.83;647.28
"74";7301;1;0.0519730539809791;0.667884228203743;0.818599813923436;-0.683293911585358;0.880212758286109;14686.15;94.08
"75";7401;1;0.0645049987357598;2.55134000750008;0.863625150389506;-0.269717918846525;0.789295414884982;3736.96;2.92
"76";7501;1;0.0526350693984304;2.65160459221612;0.830565175258573;-0.312499011664264;0.602844572652676;3526.11;40.36
"77";7601;1;0.0502776148665083;1.87324956302592;0.87766587765438;-0.29627119224504;0.546911581865372;4662.85;40.36
"78";7701;1;0.047134233888778;1.08857587257125;0.882902456470933;-0.490995511804862;0.734546661582739;7771.08;51.68
"79";7801;1;0.0516313327674648;1.39736163062594;0.846127049162819;-0.585571611492769;0.768361625087502;6502.84;51.68
"80";7901;1;0.0261468561779698;4.58276373929839;0.829529948500452;-0.670283267005974;0.669851722070824;2071.62;46.08
"81";8001;1;0.0359509956178371;3.56007361145747;0.869715947350151;-0.209101594488491;0.347103471999487;2554.53;46.08
"82";8101;1;0.0829068752040018;3.98162564821779;0.888766492331269;-0.288410087764161;0.804813646907214;2386.7;27.16
"83";8201;1;0.0748736690728935;3.77555112413524;0.86444478885472;-0.322917806639028;0.657743387362205;2475.99;27.16
"84";8301;1;0.089276609538724;3.54554596788114;0.89973941866098;-0.2847304374562;0.502569590957691;2718.6;3.36
"85";8401;1;0.0977235064178521;5.38930255812718;0.883929424376468;-0.121729153264473;0.367373885782134;1762.65;3.86
"86";8501;1;0.0789631795216419;7.39823122701899;0.802719391428794;-0.213724168792621;0.76406939553018;1237.62;3.86
"87";8601;1;0.0564735349679706;9.74353614058947;0.806225545750974;-0.332097762906651;0.84735967837087;997.34;3
"88";8701;1;0.0377154371167551;2.96045140297723;0.67816765912544;-0.850974334250494;0.912165892708025;3077.57;107.24
"89";8801;1;0.0366867535396642;2.28607244956446;0.704333445963742;-0.723912773011379;0.913127670164209;3628.24;107.24
"90";1;101;NA;NA;NA;NA;NA;NA;NA
"91";101;101;NA;NA;NA;NA;NA;NA;NA
"92";201;101;NA;NA;NA;NA;NA;NA;NA
"93";301;101;NA;NA;NA;NA;NA;NA;NA
"94";401;101;NA;NA;NA;NA;NA;NA;NA
"95";501;101;NA;NA;NA;NA;NA;NA;NA
"96";601;101;NA;NA;NA;NA;NA;NA;NA
"97";701;101;NA;NA;NA;NA;NA;NA;NA
"98";801;101;NA;NA;NA;NA;NA;NA;NA
"99";901;101;NA;NA;NA;NA;NA;NA;NA
"100";1001;101;NA;NA;NA;NA;NA;NA;NA
"101";1101;101;NA;NA;NA;NA;NA;NA;NA
"102";1201;101;NA;NA;NA;NA;NA;NA;NA
"103";1301;101;NA;NA;NA;NA;NA;NA;NA
"104";1401;101;NA;NA;NA;NA;NA;NA;NA
"105";1501;101;NA;NA;NA;NA;NA;NA;NA
"106";1601;101;NA;NA;NA;NA;NA;NA;NA
"107";1701;101;NA;NA;NA;NA;NA;NA;NA
"108";1801;101;NA;NA;NA;NA;NA;NA;NA
"109";1901;101;NA;NA;NA;NA;NA;NA;NA
"110";2001;101;NA;NA;NA;NA;NA;NA;NA
"111";2101;101;NA;NA;NA;NA;NA;NA;NA
"112";2201;101;NA;NA;NA;NA;NA;NA;NA
"113";2301;101;NA;NA;NA;NA;NA;NA;NA
"114";2401;101;NA;NA;NA;NA;NA;NA;NA
"115";2501;101;NA;NA;NA;NA;NA;NA;NA
"116";2601;101;NA;NA;NA;NA;NA;NA;NA
"117";2701;101;NA;NA;NA;NA;NA;NA;NA
"118";2801;101;NA;NA;NA;NA;NA;NA;NA
"119";2901;101;NA;NA;NA;NA;NA;NA;NA
"120";3001;101;NA;NA;NA;NA;NA;NA;NA
"121";3101;101;NA;NA;NA;NA;NA;NA;NA
"122";3201;101;NA;NA;NA;NA;NA;NA;NA
"123";3301;101;NA;NA;NA;NA;NA;NA;NA
"124";3401;101;NA;NA;NA;NA;NA;NA;NA
"125";3501;101;NA;NA;NA;NA;NA;NA;NA
"126";3601;101;NA;NA;NA;NA;NA;NA;NA
"127";3701;101;NA;NA;NA;NA;NA;NA;NA
"128";3801;101;NA;NA;NA;NA;NA;NA;NA
"129";3901;101;NA;NA;NA;NA;NA;NA;NA
"130";4001;101;NA;NA;NA;NA;NA;NA;NA
"131";4101;101;NA;NA;NA;NA;NA;NA;NA
"132";4201;101;NA;NA;NA;NA;NA;NA;NA
"133";4301;101;NA;NA;NA;NA;NA;NA;NA
"134";4401;101;NA;NA;NA;NA;NA;NA;NA
"135";4501;101;NA;NA;NA;NA;NA;NA;NA
"136";4601;101;NA;NA;NA;NA;NA;NA;NA
"137";4701;101;NA;NA;NA;NA;NA;NA;NA
"138";4801;101;NA;NA;NA;NA;NA;NA;NA
"139";4901;101;NA;NA;NA;NA;NA;NA;NA
"140";5001;101;NA;NA;NA;NA;NA;NA;NA
"141";5101;101;NA;NA;NA;NA;NA;NA;NA
"142";5201;101;NA;NA;NA;NA;NA;NA;NA
"143";5301;101;NA;NA;NA;NA;NA;NA;NA
"144";5401;101;NA;NA;NA;NA;NA;NA;NA
"145";5501;101;NA;NA;NA;NA;NA;NA;NA
"146";5601;101;NA;NA;NA;NA;NA;NA;NA
"147";5701;101;NA;NA;NA;NA;NA;NA;NA
"148";5801;101;NA;NA;NA;NA;NA;NA;NA
"149";5901;101;NA;NA;NA;NA;NA;NA;NA
"150";6001;101;NA;NA;NA;NA;NA;NA;NA
"151";6101;101;NA;NA;NA;NA;NA;NA;NA
"152";6201;101;NA;NA;NA;NA;NA;NA;NA
"153";6301;101;NA;NA;NA;NA;NA;NA;NA
"154";6401;101;NA;NA;NA;NA;NA;NA;NA
"155";6501;101;NA;NA;NA;NA;NA;NA;NA
"156";6601;101;NA;NA;NA;NA;NA;NA;NA
"157";6701;101;NA;NA;NA;NA;NA;NA;NA
"158";6801;101;NA;NA;NA;NA;NA;NA;NA
"159";6901;101;NA;NA;NA;NA;NA;NA;NA
"160";7001;101;NA;NA;NA;NA;NA;NA;NA
"161";7101;101;NA;NA;NA;NA;NA;NA;NA
"162";7201;101;0.045782261746095;0.180533423871148;0.712532134188936;-1.20373688745897;0.928439070786456;48776.33;436.32
"163";7301;101;0.0535310029820959;0.274220913867216;0.717298494033543;-0.920616115302434;0.849147403452783;35569.93;323.36
"164";7401;101;0.031153965221289;0.893578199301537;0.815586928273475;-0.483449680312225;0.815727135223919;10597.87;164.24
"165";7501;101;0.0466223640890448;1.71248536232512;0.878408749394678;-0.315996229727166;0.678981546650727;5740.51;43.07
"166";7601;101;0.0543091324962309;2.23136680255019;0.868451493656542;-0.332235870996496;0.652573008087398;4250.63;40.36
"167";7701;101;0.0561392798208731;1.29612435924626;0.890754135030695;-0.349255421063616;0.64180978124543;6968.09;51.68
"168";7801;101;0.0518795219972535;1.43776612177782;0.876763925818882;-0.403009525250464;0.667643510417601;6561.36;51.68
"169";7901;101;0.0330318197592064;2.87736335161511;0.869661696501956;-0.587274239170803;0.760971157015492;3027.38;46.08
"170";8001;101;0.0294783191949231;2.77504480396004;0.911686402284173;-0.223802145057622;0.411040384376275;3369.19;46.08
"171";8101;101;0.0441860100849852;1.4194540175239;0.776157138232504;-0.569476385218809;0.654494650672459;6660.07;105.2
"172";8201;101;0.0452081377483384;0.98032486479254;0.787609315111353;-0.527289971310776;0.732465667032164;8044.24;105.2
"173";8301;101;0.0344743177112679;1.83441367290967;0.855785107010924;-0.508933484058691;0.851013696643095;5168.58;105.2
"174";8401;101;0.0515777830797725;2.42783060693608;0.763783087254634;-0.859014901846847;0.87122697458439;3941.86;46.32
"175";8501;101;0.0686439848234927;4.05752024654828;0.670117520753624;-0.75824675832811;0.864926183633807;2255.37;19.44
"176";8601;101;0.056352909227477;11.6483768319734;0.716954896269828;-0.25903036952977;0.898419013090338;825;3
"177";8701;101;0.0379753666022381;3.4160912589034;0.632330164837192;-0.760625068924018;0.879873667605973;2843.31;107.24
"178";8801;101;0.0379127498465344;2.16749461877498;0.706974262141718;-0.686455317398506;0.912714887812713;4217.78;107.24
"179";1;201;NA;NA;NA;NA;NA;NA;NA
"180";101;201;NA;NA;NA;NA;NA;NA;NA
"181";201;201;NA;NA;NA;NA;NA;NA;NA
"182";301;201;NA;NA;NA;NA;NA;NA;NA
"183";401;201;NA;NA;NA;NA;NA;NA;NA
"184";501;201;NA;NA;NA;NA;NA;NA;NA
"185";601;201;NA;NA;NA;NA;NA;NA;NA
"186";701;201;NA;NA;NA;NA;NA;NA;NA
"187";801;201;NA;NA;NA;NA;NA;NA;NA
"188";901;201;NA;NA;NA;NA;NA;NA;NA
"189";1001;201;NA;NA;NA;NA;NA;NA;NA
"190";1101;201;NA;NA;NA;NA;NA;NA;NA
"191";1201;201;NA;NA;NA;NA;NA;NA;NA
"192";1301;201;NA;NA;NA;NA;NA;NA;NA
"193";1401;201;NA;NA;NA;NA;NA;NA;NA
"194";1501;201;0.0713650201827115;0.34468066390897;0.825370456909331;-0.92852096447491;0.930240618503674;26772.4;97.76
"195";1601;201;0.0717649426334237;0.241494426991422;0.794025393492759;-1.04180725265153;0.911461116801396;36831.53;104.56
"196";1701;201;NA;NA;NA;NA;NA;NA;NA
"197";1801;201;NA;NA;NA;NA;NA;NA;NA
"198";1901;201;NA;NA;NA;NA;NA;NA;NA
"199";2001;201;NA;NA;NA;NA;NA;NA;NA
"200";2101;201;NA;NA;NA;NA;NA;NA;NA
"201";2201;201;NA;NA;NA;NA;NA;NA;NA
"202";2301;201;NA;NA;NA;NA;NA;NA;NA
"203";2401;201;NA;NA;NA;NA;NA;NA;NA
"204";2501;201;NA;NA;NA;NA;NA;NA;NA
"205";2601;201;NA;NA;NA;NA;NA;NA;NA
"206";2701;201;NA;NA;NA;NA;NA;NA;NA
"207";2801;201;NA;NA;NA;NA;NA;NA;NA
"208";2901;201;NA;NA;NA;NA;NA;NA;NA
"209";3001;201;NA;NA;NA;NA;NA;NA;NA
"210";3101;201;NA;NA;NA;NA;NA;NA;NA
"211";3201;201;NA;NA;NA;NA;NA;NA;NA
"212";3301;201;NA;NA;NA;NA;NA;NA;NA
"213";3401;201;NA;NA;NA;NA;NA;NA;NA
"214";3501;201;NA;NA;NA;NA;NA;NA;NA
"215";3601;201;NA;NA;NA;NA;NA;NA;NA
"216";3701;201;NA;NA;NA;NA;NA;NA;NA
"217";3801;201;NA;NA;NA;NA;NA;NA;NA
"218";3901;201;NA;NA;NA;NA;NA;NA;NA
"219";4001;201;NA;NA;NA;NA;NA;NA;NA
"220";4101;201;NA;NA;NA;NA;NA;NA;NA
"221";4201;201;NA;NA;NA;NA;NA;NA;NA
"222";4301;201;NA;NA;NA;NA;NA;NA;NA
"223";4401;201;NA;NA;NA;NA;NA;NA;NA
"224";4501;201;NA;NA;NA;NA;NA;NA;NA
"225";4601;201;NA;NA;NA;NA;NA;NA;NA
"226";4701;201;NA;NA;NA;NA;NA;NA;NA
"227";4801;201;NA;NA;NA;NA;NA;NA;NA
"228";4901;201;NA;NA;NA;NA;NA;NA;NA
"229";5001;201;NA;NA;NA;NA;NA;NA;NA
"230";5101;201;NA;NA;NA;NA;NA;NA;NA
"231";5201;201;NA;NA;NA;NA;NA;NA;NA
"232";5301;201;NA;NA;NA;NA;NA;NA;NA
"233";5401;201;NA;NA;NA;NA;NA;NA;NA
"234";5501;201;NA;NA;NA;NA;NA;NA;NA
"235";5601;201;NA;NA;NA;NA;NA;NA;NA
"236";5701;201;NA;NA;NA;NA;NA;NA;NA
"237";5801;201;NA;NA;NA;NA;NA;NA;NA
"238";5901;201;NA;NA;NA;NA;NA;NA;NA
"239";6001;201;NA;NA;NA;NA;NA;NA;NA
"240";6101;201;NA;NA;NA;NA;NA;NA;NA
"241";6201;201;NA;NA;NA;NA;NA;NA;NA
"242";6301;201;NA;NA;NA;NA;NA;NA;NA
"243";6401;201;NA;NA;NA;NA;NA;NA;NA
"244";6501;201;NA;NA;NA;NA;NA;NA;NA
"245";6601;201;NA;NA;NA;NA;NA;NA;NA
"246";6701;201;NA;NA;NA;NA;NA;NA;NA
"247";6801;201;NA;NA;NA;NA;NA;NA;NA
"248";6901;201;NA;NA;NA;NA;NA;NA;NA
"249";7001;201;NA;NA;NA;NA;NA;NA;NA
"250";7101;201;NA;NA;NA;NA;NA;NA;NA
"251";7201;201;NA;NA;NA;NA;NA;NA;NA
"252";7301;201;0.0500845028943714;0.249660972586595;0.704560522473386;-1.01622503016728;0.88488355367557;35675.7;323.36
"253";7401;201;0.0300842174510047;0.757996347867646;0.842819884974812;-0.465542752561597;0.838353228174455;12232.49;164.24
"254";7501;201;0.0599254366345728;1.45190099451297;0.90712339323826;-0.267829857970025;0.752672670734328;6511.37;43.07
"255";7601;201;0.0725855199684137;2.72149727055995;0.869251207630002;-0.116114757256101;0.246916945656325;3179.19;27
"256";7701;201;0.07428498129007;2.94034095650651;0.862875669327019;-0.298236247270567;0.753959507385599;3072.37;14.12
"257";7801;201;0.0533842915175715;3.06159060874419;0.867356726577812;-0.321903109853834;0.6697439851848;3216.63;46.08
"258";7901;201;0.0428279214134369;3.46914703123967;0.900335733355174;-0.415864964519433;0.699549487598289;2587.15;46.08
"259";8001;201;0.114519518755924;3.97493498304825;0.925444858703116;-0.203752112928097;0.773370651672991;2313.34;1.88
"260";8101;201;0.0445334773634464;1.86961906137234;0.743724863221945;-0.67260795196784;0.581422175502456;5838.12;105.2
"261";8201;201;0.0458444494831963;1.24002302138006;0.801241697764757;-0.536799720509375;0.649846892830618;7884.78;105.2
"262";8301;201;0.0280497197188361;1.65118030507299;0.890971909673701;-0.510504383359538;0.808876948652754;5560;105.2
"263";8401;201;0.0468965552026933;1.86461506292918;0.814399473417994;-0.808158719478986;0.896135577528791;4841.49;46.32
"264";8501;201;0.0654738154325796;3.30933979441047;0.722318249021875;-0.719444739778272;0.881349051498332;2653.37;19.44
"265";8601;201;0.0533591912601368;9.07694010279723;0.762483154892321;-0.255634524909854;0.820230267580752;1064.96;7.6
"266";8701;201;0.0206685117444247;7.06916949210055;0.731212583407229;-0.295505698648071;0.709028534582258;1225.98;57.34
"267";8801;201;0.0302934099004679;1.84884887612826;0.717793987857698;-0.733310823745956;0.914117539320991;4886.41;146.08
"268";1;301;NA;NA;NA;NA;NA;NA;NA
"269";101;301;NA;NA;NA;NA;NA;NA;NA
"270";201;301;NA;NA;NA;NA;NA;NA;NA
"271";301;301;NA;NA;NA;NA;NA;NA;NA
"272";401;301;NA;NA;NA;NA;NA;NA;NA
"273";501;301;NA;NA;NA;NA;NA;NA;NA
"274";601;301;NA;NA;NA;NA;NA;NA;NA
"275";701;301;NA;NA;NA;NA;NA;NA;NA
"276";801;301;NA;NA;NA;NA;NA;NA;NA
"277";901;301;NA;NA;NA;NA;NA;NA;NA
"278";1001;301;NA;NA;NA;NA;NA;NA;NA
"279";1101;301;NA;NA;NA;NA;NA;NA;NA
"280";1201;301;NA;NA;NA;NA;NA;NA;NA
"281";1301;301;NA;NA;NA;NA;NA;NA;NA
"282";1401;301;0.0690833160505859;0.334242474670082;0.83472981913502;-0.965670433470424;0.89182545853455;26256.72;50.8
"283";1501;301;0.10081026126863;0.12321132096909;0.815133616485434;-1.12292396374943;0.915524642762538;82735.26;228
"284";1601;301;0.164909718636387;0.0420529195842122;0.800337475879372;-1.55814320974924;0.848392534383433;199973.17;228
"285";1701;301;NA;NA;NA;NA;NA;NA;NA
"286";1801;301;NA;NA;NA;NA;NA;NA;NA
"287";1901;301;NA;NA;NA;NA;NA;NA;NA
"288";2001;301;0.0575329181069418;0.404760461166204;0.823002128578558;-0.846716370836308;0.884159710220975;21433.77;108.08
"289";2101;301;0.0818034470678948;0.4948543968706;0.82106669954931;-0.850142220998668;0.87335552541238;19111.52;57.72
"290";2201;301;NA;NA;NA;NA;NA;NA;NA
"291";2301;301;NA;NA;NA;NA;NA;NA;NA
"292";2401;301;NA;NA;NA;NA;NA;NA;NA
"293";2501;301;NA;NA;NA;NA;NA;NA;NA
"294";2601;301;NA;NA;NA;NA;NA;NA;NA
"295";2701;301;NA;NA;NA;NA;NA;NA;NA
"296";2801;301;NA;NA;NA;NA;NA;NA;NA
"297";2901;301;NA;NA;NA;NA;NA;NA;NA
"298";3001;301;NA;NA;NA;NA;NA;NA;NA
"299";3101;301;NA;NA;NA;NA;NA;NA;NA
"300";3201;301;NA;NA;NA;NA;NA;NA;NA
"301";3301;301;NA;NA;NA;NA;NA;NA;NA
"302";3401;301;NA;NA;NA;NA;NA;NA;NA
"303";3501;301;NA;NA;NA;NA;NA;NA;NA
"304";3601;301;NA;NA;NA;NA;NA;NA;NA
"305";3701;301;NA;NA;NA;NA;NA;NA;NA
"306";3801;301;NA;NA;NA;NA;NA;NA;NA
"307";3901;301;NA;NA;NA;NA;NA;NA;NA
"308";4001;301;NA;NA;NA;NA;NA;NA;NA
"309";4101;301;NA;NA;NA;NA;NA;NA;NA
"310";4201;301;NA;NA;NA;NA;NA;NA;NA
"311";4301;301;NA;NA;NA;NA;NA;NA;NA
"312";4401;301;NA;NA;NA;NA;NA;NA;NA
"313";4501;301;NA;NA;NA;NA;NA;NA;NA
"314";4601;301;NA;NA;NA;NA;NA;NA;NA
"315";4701;301;NA;NA;NA;NA;NA;NA;NA
"316";4801;301;NA;NA;NA;NA;NA;NA;NA
"317";4901;301;NA;NA;NA;NA;NA;NA;NA
"318";5001;301;NA;NA;NA;NA;NA;NA;NA
"319";5101;301;NA;NA;NA;NA;NA;NA;NA
"320";5201;301;NA;NA;NA;NA;NA;NA;NA
"321";5301;301;NA;NA;NA;NA;NA;NA;NA
"322";5401;301;NA;NA;NA;NA;NA;NA;NA
"323";5501;301;NA;NA;NA;NA;NA;NA;NA
"324";5601;301;NA;NA;NA;NA;NA;NA;NA
"325";5701;301;NA;NA;NA;NA;NA;NA;NA
"326";5801;301;NA;NA;NA;NA;NA;NA;NA
"327";5901;301;NA;NA;NA;NA;NA;NA;NA
"328";6001;301;NA;NA;NA;NA;NA;NA;NA
"329";6101;301;NA;NA;NA;NA;NA;NA;NA
"330";6201;301;NA;NA;NA;NA;NA;NA;NA
"331";6301;301;NA;NA;NA;NA;NA;NA;NA
"332";6401;301;NA;NA;NA;NA;NA;NA;NA
"333";6501;301;NA;NA;NA;NA;NA;NA;NA
"334";6601;301;NA;NA;NA;NA;NA;NA;NA
"335";6701;301;NA;NA;NA;NA;NA;NA;NA
"336";6801;301;NA;NA;NA;NA;NA;NA;NA
"337";6901;301;NA;NA;NA;NA;NA;NA;NA
"338";7001;301;NA;NA;NA;NA;NA;NA;NA
"339";7101;301;NA;NA;NA;NA;NA;NA;NA
"340";7201;301;NA;NA;NA;NA;NA;NA;NA
"341";7301;301;0.0479087485011198;0.31597751713037;0.669374458626016;-1.18100540311654;0.897475142500452;25486.65;270.29
"342";7401;301;0.0321915346450826;0.299620384110562;0.705791283966548;-0.925772136220029;0.894623166514711;34054.69;544.4
"343";7501;301;0.0297012463968196;0.370478751018161;0.701776971549548;-0.719352023957603;0.877742130586056;23470.42;544.4
"344";7601;301;0.0196438005569027;1.05119815126826;0.741791930054917;-0.506072713620901;0.838297156465012;9053.1;465.2
"345";7701;301;0.0918408226481501;3.68636539672355;0.850143994920578;-0.274375423575484;0.819480918956726;2737.39;14.12
"346";7801;301;0.0339269560125659;6.67825239630108;0.845510882339173;-0.82186799074752;0.915926600320294;1431.5;14.12
"347";7901;301;0.102161071158595;5.02852944415171;0.901163506938498;NA;NA;1885.58;0.96
"348";8001;301;0.199226062170557;2.23259023363923;0.87341470641538;-0.25165224206523;0.636684166837011;4566.82;8.32
"349";8101;301;0.178241730806424;1.78645581605674;0.890619164873735;-0.265258383983541;0.632749686704502;5314.24;8.32
"350";8201;301;0.0853480987771637;2.33912356533763;0.952518171543089;-0.484030475847639;0.851372706596655;4144.91;8.32
"351";8301;301;0.0584444603634808;1.02539916715945;0.813275191433856;-0.75471775097084;0.801278136033437;9592.39;102.2
"352";8401;301;0.050468092154094;0.97577659343587;0.739133778795796;-0.801138629836802;0.834138907587454;9847.73;102.2
"353";8501;301;0.0296380534618272;2.77920312736821;0.65898506891486;-0.708753923773667;0.874203409569235;2963.09;100.72
"354";8601;301;0.0473853957995846;12.0334703429168;0.808567987167603;-0.352386849160765;0.819005069672524;787.64;7.6
"355";8701;301;0.0187632796108483;10.4316315430792;0.732731955943068;-0.366510580710169;0.657109375915433;897.02;57.34
"356";8801;301;0.0273697007388576;1.91888188193229;0.686281663403983;-0.919406640282047;0.907598031608379;5058.27;146.08
"357";1;401;NA;NA;NA;NA;NA;NA;NA
"358";101;401;NA;NA;NA;NA;NA;NA;NA
"359";201;401;NA;NA;NA;NA;NA;NA;NA
"360";301;401;NA;NA;NA;NA;NA;NA;NA
"361";401;401;NA;NA;NA;NA;NA;NA;NA
"362";501;401;NA;NA;NA;NA;NA;NA;NA
"363";601;401;NA;NA;NA;NA;NA;NA;NA
"364";701;401;NA;NA;NA;NA;NA;NA;NA
"365";801;401;NA;NA;NA;NA;NA;NA;NA
"366";901;401;NA;NA;NA;NA;NA;NA;NA
"367";1001;401;NA;NA;NA;NA;NA;NA;NA
"368";1101;401;NA;NA;NA;NA;NA;NA;NA
"369";1201;401;NA;NA;NA;NA;NA;NA;NA
"370";1301;401;NA;NA;NA;NA;NA;NA;NA
"371";1401;401;0.0519071925195853;0.289378249785221;0.860910820335395;-0.882630886646802;0.890276312427172;30691.99;61.52
"372";1501;401;0.096310267213036;0.108295594838624;0.827302986308924;-1.11794479174384;0.90479289712893;89667.56;228
"373";1601;401;0.151451018319832;0.0364787758686588;0.819275293321239;-1.56327768615327;0.84847926207612;220221.14;228
"374";1701;401;0.164987943607954;0.0611249897005198;0.776939654350585;-1.6152156040356;0.833764595025889;162594.06;228
"375";1801;401;NA;NA;NA;NA;NA;NA;NA
"376";1901;401;NA;NA;NA;NA;NA;NA;NA
"377";2001;401;0.0763847623453364;0.265140103076792;0.811741189252267;-0.806924103518342;0.848860262486502;31333.72;108.08
"378";2101;401;0.0347820503972994;0.399874975851742;0.898627737850811;-0.600369955225144;0.838170260628883;23109.05;78.2
"379";2201;401;0.0722692608847461;0.23384018681527;0.854838572752419;-0.964616711438793;0.898389137742293;39469.1;78.2
"380";2301;401;NA;NA;NA;NA;NA;NA;NA
"381";2401;401;NA;NA;NA;NA;NA;NA;NA
"382";2501;401;NA;NA;NA;NA;NA;NA;NA
"383";2601;401;NA;NA;NA;NA;NA;NA;NA
"384";2701;401;NA;NA;NA;NA;NA;NA;NA
"385";2801;401;NA;NA;NA;NA;NA;NA;NA
"386";2901;401;NA;NA;NA;NA;NA;NA;NA
"387";3001;401;NA;NA;NA;NA;NA;NA;NA
"388";3101;401;NA;NA;NA;NA;NA;NA;NA
"389";3201;401;NA;NA;NA;NA;NA;NA;NA
"390";3301;401;NA;NA;NA;NA;NA;NA;NA
"391";3401;401;NA;NA;NA;NA;NA;NA;NA
"392";3501;401;NA;NA;NA;NA;NA;NA;NA
"393";3601;401;NA;NA;NA;NA;NA;NA;NA
"394";3701;401;NA;NA;NA;NA;NA;NA;NA
"395";3801;401;NA;NA;NA;NA;NA;NA;NA
"396";3901;401;NA;NA;NA;NA;NA;NA;NA
"397";4001;401;NA;NA;NA;NA;NA;NA;NA
"398";4101;401;NA;NA;NA;NA;NA;NA;NA
"399";4201;401;NA;NA;NA;NA;NA;NA;NA
"400";4301;401;NA;NA;NA;NA;NA;NA;NA
